device,time,OpCode
Slave,2022-03-14 03:45:26.884042,send_SMP_0x0B
Master,2022-03-14 03:45:27.181337,recv_SMP_0x0B
Master,2022-03-14 03:45:27.184380,end_recv_SMP_0x0B
Master,2022-03-14 03:45:27.188754,send_SMP_0x01
Slave,2022-03-14 03:45:27.209718,recv_SMP_0x01
Slave,2022-03-14 03:45:27.221073,end_recv_SMP_0x01
Slave,2022-03-14 03:45:27.222963,send_SMP_0x02
Slave,2022-03-14 03:45:27.225924,end_send_SMP_0x02
Master,2022-03-14 03:45:27.381145,recv_SMP_0x02
Master,2022-03-14 03:45:27.397208,end_recv_SMP_0x02
Master,2022-03-14 03:45:27.397507,send_SMP_0x0C
Master,2022-03-14 03:45:27.397771,end_send_SMP_0x0C
Slave,2022-03-14 03:45:27.465928,recv_SMP_0x0C
Slave,2022-03-14 03:45:27.480966,end_recv_SMP_0x0C
Slave,2022-03-14 03:45:27.482915,send_SMP_0x0C
Slave,2022-03-14 03:45:27.484985,end_send_SMP_0x0C
Slave,2022-03-14 03:45:27.749185,recv_SMP_0x03
Slave,2022-03-14 03:45:27.758119,end_recv_SMP_0x03
Slave,2022-03-14 03:45:27.762608,send_SMP_0x03
Slave,2022-03-14 03:45:27.768041,end_send_SMP_0x03
Master,2022-03-14 03:45:27.887058,recv_SMP_0x0C
Master,2022-03-14 03:45:27.894097,end_recv_SMP_0x0C
Master,2022-03-14 03:45:27.898370,send_SMP_0x03
Master,2022-03-14 03:45:27.906040,end_send_SMP_0x03
Slave,2022-03-14 03:45:27.908959,recv_SMP_0x04
Slave,2022-03-14 03:45:27.923990,end_recv_SMP_0x04
Slave,2022-03-14 03:45:27.925972,send_SMP_0x04
Slave,2022-03-14 03:45:27.928099,end_send_SMP_0x04
Slave,2022-03-14 03:45:28.199116,recv_SMP_0x03
Master,2022-03-14 03:45:28.199641,recv_SMP_0x03
Slave,2022-03-14 03:45:28.209241,end_recv_SMP_0x03
Master,2022-03-14 03:45:28.209781,end_recv_SMP_0x03
Slave,2022-03-14 03:45:28.210186,send_SMP_0x03
Master,2022-03-14 03:45:28.210731,send_SMP_0x04
Master,2022-03-14 03:45:28.216729,end_send_SMP_0x04
Slave,2022-03-14 03:45:28.219993,end_send_SMP_0x03
Master,2022-03-14 03:45:28.357835,recv_SMP_0x04
Slave,2022-03-14 03:45:28.359499,recv_SMP_0x04
Slave,2022-03-14 03:45:28.375952,end_recv_SMP_0x04
Master,2022-03-14 03:45:28.379590,end_recv_SMP_0x04
Slave,2022-03-14 03:45:28.381887,send_SMP_0x04
Master,2022-03-14 03:45:28.384320,send_SMP_0x03
Slave,2022-03-14 03:45:28.386414,end_send_SMP_0x04
Master,2022-03-14 03:45:28.388250,end_send_SMP_0x03
Slave,2022-03-14 03:45:28.549129,recv_SMP_0x03
Slave,2022-03-14 03:45:28.558088,end_recv_SMP_0x03
Slave,2022-03-14 03:45:28.562215,send_SMP_0x03
Master,2022-03-14 03:45:28.566206,recv_SMP_0x03
Slave,2022-03-14 03:45:28.568312,end_send_SMP_0x03
Master,2022-03-14 03:45:28.571051,end_recv_SMP_0x03
Master,2022-03-14 03:45:28.572246,send_SMP_0x04
Master,2022-03-14 03:45:28.573511,end_send_SMP_0x04
Slave,2022-03-14 03:45:28.708969,recv_SMP_0x04
Slave,2022-03-14 03:45:28.723971,end_recv_SMP_0x04
Master,2022-03-14 03:45:28.724199,recv_SMP_0x04
Slave,2022-03-14 03:45:28.725970,send_SMP_0x04
Slave,2022-03-14 03:45:28.728911,end_send_SMP_0x04
Master,2022-03-14 03:45:28.732033,end_recv_SMP_0x04
Master,2022-03-14 03:45:28.733191,send_SMP_0x03
Master,2022-03-14 03:45:28.737294,end_send_SMP_0x03
Slave,2022-03-14 03:45:28.899073,recv_SMP_0x03
Slave,2022-03-14 03:45:28.907945,end_recv_SMP_0x03
Slave,2022-03-14 03:45:28.910004,send_SMP_0x03
Master,2022-03-14 03:45:28.916543,recv_SMP_0x03
Slave,2022-03-14 03:45:28.918142,end_send_SMP_0x03
Master,2022-03-14 03:45:28.921229,end_recv_SMP_0x03
Master,2022-03-14 03:45:28.922966,send_SMP_0x04
Master,2022-03-14 03:45:28.925382,end_send_SMP_0x04
Slave,2022-03-14 03:45:29.059145,recv_SMP_0x04
Slave,2022-03-14 03:45:29.074577,end_recv_SMP_0x04
Master,2022-03-14 03:45:29.077543,recv_SMP_0x04
Slave,2022-03-14 03:45:29.079648,send_SMP_0x04
Slave,2022-03-14 03:45:29.081699,end_send_SMP_0x04
Master,2022-03-14 03:45:29.084072,end_recv_SMP_0x04
Master,2022-03-14 03:45:29.084598,send_SMP_0x03
Master,2022-03-14 03:45:29.088647,end_send_SMP_0x03
Slave,2022-03-14 03:45:29.249179,recv_SMP_0x03
Slave,2022-03-14 03:45:29.258662,end_recv_SMP_0x03
