device,time,OpCode
Slave,2022-03-14 15:24:37.347761,send_SMP_0x0B
Master,2022-03-14 15:24:37.639007,recv_SMP_0x0B
Master,2022-03-14 15:24:37.641872,end_recv_SMP_0x0B
Master,2022-03-14 15:24:37.644854,send_SMP_0x01
Master,2022-03-14 15:24:37.645993,end_send_SMP_0x01
Slave,2022-03-14 15:24:37.670797,recv_SMP_0x01
Slave,2022-03-14 15:24:37.684796,end_recv_SMP_0x01
Slave,2022-03-14 15:24:37.686837,send_SMP_0x02
Slave,2022-03-14 15:24:37.688774,end_send_SMP_0x02
Master,2022-03-14 15:24:37.844887,recv_SMP_0x02
Master,2022-03-14 15:24:37.857907,end_recv_SMP_0x02
Master,2022-03-14 15:24:37.859181,send_SMP_0x0C
Master,2022-03-14 15:24:37.860870,end_send_SMP_0x0C
Slave,2022-03-14 15:24:37.928775,recv_SMP_0x0C
Slave,2022-03-14 15:24:37.944755,end_recv_SMP_0x0C
Slave,2022-03-14 15:24:37.946773,send_SMP_0x0C
Slave,2022-03-14 15:24:37.948794,end_send_SMP_0x0C
Slave,2022-03-14 15:24:38.212861,recv_SMP_0x03
Slave,2022-03-14 15:24:38.221807,end_recv_SMP_0x03
Slave,2022-03-14 15:24:38.223742,send_SMP_0x03
Slave,2022-03-14 15:24:38.231768,end_send_SMP_0x03
Master,2022-03-14 15:24:38.349948,recv_SMP_0x0C
Master,2022-03-14 15:24:38.357903,end_recv_SMP_0x0C
Master,2022-03-14 15:24:38.361864,send_SMP_0x03
Master,2022-03-14 15:24:38.369317,end_send_SMP_0x03
Slave,2022-03-14 15:24:38.372921,recv_SMP_0x04
Slave,2022-03-14 15:24:38.387803,end_recv_SMP_0x04
Slave,2022-03-14 15:24:38.389772,send_SMP_0x04
Slave,2022-03-14 15:24:38.391812,end_send_SMP_0x04
Slave,2022-03-14 15:24:38.562790,recv_SMP_0x03
Master,2022-03-14 15:24:38.562995,recv_SMP_0x03
Slave,2022-03-14 15:24:38.571810,end_recv_SMP_0x03
Master,2022-03-14 15:24:38.572027,end_recv_SMP_0x03
Slave,2022-03-14 15:24:38.573796,send_SMP_0x03
Master,2022-03-14 15:24:38.573975,send_SMP_0x04
Master,2022-03-14 15:24:38.578982,end_send_SMP_0x04
Slave,2022-03-14 15:24:38.581754,end_send_SMP_0x03
Master,2022-03-14 15:24:38.720941,recv_SMP_0x04
Slave,2022-03-14 15:24:38.722800,recv_SMP_0x04
Slave,2022-03-14 15:24:38.737831,end_recv_SMP_0x04
Master,2022-03-14 15:24:38.738048,end_recv_SMP_0x04
Slave,2022-03-14 15:24:38.739808,send_SMP_0x04
Master,2022-03-14 15:24:38.739997,send_SMP_0x03
Slave,2022-03-14 15:24:38.741891,end_send_SMP_0x04
Master,2022-03-14 15:24:38.743074,end_send_SMP_0x03
Slave,2022-03-14 15:24:38.912811,recv_SMP_0x03
Slave,2022-03-14 15:24:38.921806,end_recv_SMP_0x03
Slave,2022-03-14 15:24:38.923833,send_SMP_0x03
Master,2022-03-14 15:24:38.928916,recv_SMP_0x03
Slave,2022-03-14 15:24:38.931812,end_send_SMP_0x03
Master,2022-03-14 15:24:38.934458,end_recv_SMP_0x03
Master,2022-03-14 15:24:38.935032,send_SMP_0x04
Master,2022-03-14 15:24:38.936898,end_send_SMP_0x04
Slave,2022-03-14 15:24:39.072824,recv_SMP_0x04
Slave,2022-03-14 15:24:39.087832,end_recv_SMP_0x04
Master,2022-03-14 15:24:39.088041,recv_SMP_0x04
Slave,2022-03-14 15:24:39.089824,send_SMP_0x04
Slave,2022-03-14 15:24:39.091791,end_send_SMP_0x04
Master,2022-03-14 15:24:39.095897,end_recv_SMP_0x04
Master,2022-03-14 15:24:39.097365,send_SMP_0x03
Master,2022-03-14 15:24:39.100949,end_send_SMP_0x03
Slave,2022-03-14 15:24:39.262811,recv_SMP_0x03
Slave,2022-03-14 15:24:39.271956,end_recv_SMP_0x03
Slave,2022-03-14 15:24:39.273787,send_SMP_0x03
Master,2022-03-14 15:24:39.278936,recv_SMP_0x03
Slave,2022-03-14 15:24:39.281778,end_send_SMP_0x03
Master,2022-03-14 15:24:39.283971,end_recv_SMP_0x03
Master,2022-03-14 15:24:39.284924,send_SMP_0x04
Master,2022-03-14 15:24:39.286905,end_send_SMP_0x04
Slave,2022-03-14 15:24:39.422822,recv_SMP_0x04
Slave,2022-03-14 15:24:39.437831,end_recv_SMP_0x04
Master,2022-03-14 15:24:39.438037,recv_SMP_0x04
Slave,2022-03-14 15:24:39.439821,send_SMP_0x04
Slave,2022-03-14 15:24:39.441814,end_send_SMP_0x04
Master,2022-03-14 15:24:39.445931,end_recv_SMP_0x04
Master,2022-03-14 15:24:39.446920,send_SMP_0x03
Master,2022-03-14 15:24:39.450955,end_send_SMP_0x03
Slave,2022-03-14 15:24:39.612860,recv_SMP_0x03
Slave,2022-03-14 15:24:39.621850,end_recv_SMP_0x03
Slave,2022-03-14 15:24:39.623945,send_SMP_0x03
Master,2022-03-14 15:24:39.629008,recv_SMP_0x03
Slave,2022-03-14 15:24:39.631770,end_send_SMP_0x03
Master,2022-03-14 15:24:39.633949,end_recv_SMP_0x03
Master,2022-03-14 15:24:39.634960,send_SMP_0x04
Master,2022-03-14 15:24:39.637661,end_send_SMP_0x04
Slave,2022-03-14 15:24:39.772848,recv_SMP_0x04
Slave,2022-03-14 15:24:39.787942,end_recv_SMP_0x04
Master,2022-03-14 15:24:39.788137,recv_SMP_0x04
Slave,2022-03-14 15:24:39.789860,send_SMP_0x04
Slave,2022-03-14 15:24:39.791832,end_send_SMP_0x04
Master,2022-03-14 15:24:39.795260,end_recv_SMP_0x04
Master,2022-03-14 15:24:39.796940,send_SMP_0x03
Master,2022-03-14 15:24:39.802757,end_send_SMP_0x03
Slave,2022-03-14 15:24:39.962786,recv_SMP_0x03
Slave,2022-03-14 15:24:39.971833,end_recv_SMP_0x03
Slave,2022-03-14 15:24:39.973843,send_SMP_0x03
Master,2022-03-14 15:24:39.978972,recv_SMP_0x03
Slave,2022-03-14 15:24:39.981787,end_send_SMP_0x03
Master,2022-03-14 15:24:39.983945,end_recv_SMP_0x03
Master,2022-03-14 15:24:39.984989,send_SMP_0x04
Master,2022-03-14 15:24:39.986958,end_send_SMP_0x04
Slave,2022-03-14 15:24:40.122850,recv_SMP_0x04
Slave,2022-03-14 15:24:40.137809,end_recv_SMP_0x04
Master,2022-03-14 15:24:40.138002,recv_SMP_0x04
Slave,2022-03-14 15:24:40.139831,send_SMP_0x04
Slave,2022-03-14 15:24:40.141838,end_send_SMP_0x04
Master,2022-03-14 15:24:40.145902,end_recv_SMP_0x04
Master,2022-03-14 15:24:40.146926,send_SMP_0x03
Master,2022-03-14 15:24:40.150931,end_send_SMP_0x03
Slave,2022-03-14 15:24:40.312803,recv_SMP_0x03
Slave,2022-03-14 15:24:40.321811,end_recv_SMP_0x03
Slave,2022-03-14 15:24:40.323837,send_SMP_0x03
Master,2022-03-14 15:24:40.328950,recv_SMP_0x03
Slave,2022-03-14 15:24:40.331826,end_send_SMP_0x03
Master,2022-03-14 15:24:40.333899,end_recv_SMP_0x03
Master,2022-03-14 15:24:40.335994,send_SMP_0x04
Master,2022-03-14 15:24:40.337387,end_send_SMP_0x04
Slave,2022-03-14 15:24:40.473844,recv_SMP_0x04
Slave,2022-03-14 15:24:40.487868,end_recv_SMP_0x04
Master,2022-03-14 15:24:40.488075,recv_SMP_0x04
Slave,2022-03-14 15:24:40.489976,send_SMP_0x04
Slave,2022-03-14 15:24:40.491846,end_send_SMP_0x04
Master,2022-03-14 15:24:40.495920,end_recv_SMP_0x04
Master,2022-03-14 15:24:40.497210,send_SMP_0x03
Master,2022-03-14 15:24:40.502281,end_send_SMP_0x03
Slave,2022-03-14 15:24:40.662848,recv_SMP_0x03
Slave,2022-03-14 15:24:40.671998,end_recv_SMP_0x03
Slave,2022-03-14 15:24:40.673932,send_SMP_0x03
Master,2022-03-14 15:24:40.678937,recv_SMP_0x03
Slave,2022-03-14 15:24:40.681809,end_send_SMP_0x03
Master,2022-03-14 15:24:40.683976,end_recv_SMP_0x03
Master,2022-03-14 15:24:40.684969,send_SMP_0x04
Master,2022-03-14 15:24:40.686974,end_send_SMP_0x04
Slave,2022-03-14 15:24:40.822866,recv_SMP_0x04
Slave,2022-03-14 15:24:40.837830,end_recv_SMP_0x04
Master,2022-03-14 15:24:40.838029,recv_SMP_0x04
Slave,2022-03-14 15:24:40.839870,send_SMP_0x04
Slave,2022-03-14 15:24:40.841820,end_send_SMP_0x04
Master,2022-03-14 15:24:40.845926,end_recv_SMP_0x04
Master,2022-03-14 15:24:40.846964,send_SMP_0x03
Master,2022-03-14 15:24:40.851419,end_send_SMP_0x03
Slave,2022-03-14 15:24:41.012864,recv_SMP_0x03
Slave,2022-03-14 15:24:41.021913,end_recv_SMP_0x03
Slave,2022-03-14 15:24:41.023831,send_SMP_0x03
Master,2022-03-14 15:24:41.028951,recv_SMP_0x03
Slave,2022-03-14 15:24:41.031816,end_send_SMP_0x03
Master,2022-03-14 15:24:41.033970,end_recv_SMP_0x03
Master,2022-03-14 15:24:41.035011,send_SMP_0x04
Master,2022-03-14 15:24:41.037015,end_send_SMP_0x04
Slave,2022-03-14 15:24:41.172900,recv_SMP_0x04
Slave,2022-03-14 15:24:41.192164,end_recv_SMP_0x04
Master,2022-03-14 15:24:41.192356,recv_SMP_0x04
Slave,2022-03-14 15:24:41.192510,send_SMP_0x04
Slave,2022-03-14 15:24:41.192888,end_send_SMP_0x04
Master,2022-03-14 15:24:41.196437,end_recv_SMP_0x04
Master,2022-03-14 15:24:41.197369,send_SMP_0x03
Master,2022-03-14 15:24:41.200987,end_send_SMP_0x03
Slave,2022-03-14 15:24:41.362871,recv_SMP_0x03
Slave,2022-03-14 15:24:41.371828,end_recv_SMP_0x03
Slave,2022-03-14 15:24:41.374596,send_SMP_0x03
Master,2022-03-14 15:24:41.379006,recv_SMP_0x03
Slave,2022-03-14 15:24:41.381843,end_send_SMP_0x03
Master,2022-03-14 15:24:41.383974,end_recv_SMP_0x03
Master,2022-03-14 15:24:41.385020,send_SMP_0x04
Master,2022-03-14 15:24:41.387368,end_send_SMP_0x04
Slave,2022-03-14 15:24:41.522936,recv_SMP_0x04
Slave,2022-03-14 15:24:41.537834,end_recv_SMP_0x04
Master,2022-03-14 15:24:41.538035,recv_SMP_0x04
Slave,2022-03-14 15:24:41.539878,send_SMP_0x04
Slave,2022-03-14 15:24:41.541858,end_send_SMP_0x04
Master,2022-03-14 15:24:41.545978,end_recv_SMP_0x04
Master,2022-03-14 15:24:41.546973,send_SMP_0x03
Master,2022-03-14 15:24:41.550996,end_send_SMP_0x03
Slave,2022-03-14 15:24:41.712869,recv_SMP_0x03
Slave,2022-03-14 15:24:41.721873,end_recv_SMP_0x03
Slave,2022-03-14 15:24:41.723882,send_SMP_0x03
Master,2022-03-14 15:24:41.729008,recv_SMP_0x03
Slave,2022-03-14 15:24:41.731856,end_send_SMP_0x03
Master,2022-03-14 15:24:41.733959,end_recv_SMP_0x03
Master,2022-03-14 15:24:41.735007,send_SMP_0x04
Master,2022-03-14 15:24:41.736953,end_send_SMP_0x04
Slave,2022-03-14 15:24:41.872902,recv_SMP_0x04
Slave,2022-03-14 15:24:41.887869,end_recv_SMP_0x04
Master,2022-03-14 15:24:41.888064,recv_SMP_0x04
Slave,2022-03-14 15:24:41.889882,send_SMP_0x04
Slave,2022-03-14 15:24:41.891855,end_send_SMP_0x04
Master,2022-03-14 15:24:41.895962,end_recv_SMP_0x04
Master,2022-03-14 15:24:41.897132,send_SMP_0x03
Master,2022-03-14 15:24:41.900986,end_send_SMP_0x03
Slave,2022-03-14 15:24:42.062858,recv_SMP_0x03
Slave,2022-03-14 15:24:42.071859,end_recv_SMP_0x03
Slave,2022-03-14 15:24:42.073945,send_SMP_0x03
Master,2022-03-14 15:24:42.078976,recv_SMP_0x03
Slave,2022-03-14 15:24:42.081839,end_send_SMP_0x03
Master,2022-03-14 15:24:42.084665,end_recv_SMP_0x03
Master,2022-03-14 15:24:42.085067,send_SMP_0x04
Master,2022-03-14 15:24:42.086978,end_send_SMP_0x04
Slave,2022-03-14 15:24:42.222856,recv_SMP_0x04
Slave,2022-03-14 15:24:42.237860,end_recv_SMP_0x04
Master,2022-03-14 15:24:42.238064,recv_SMP_0x04
Slave,2022-03-14 15:24:42.239883,send_SMP_0x04
Slave,2022-03-14 15:24:42.242066,end_send_SMP_0x04
Master,2022-03-14 15:24:42.245966,end_recv_SMP_0x04
Master,2022-03-14 15:24:42.246963,send_SMP_0x03
Master,2022-03-14 15:24:42.251008,end_send_SMP_0x03
Master,2022-03-14 15:24:42.361938,recv_SMP_0x03
Master,2022-03-14 15:24:42.369986,end_recv_SMP_0x03
Master,2022-03-14 15:24:42.390969,send_SMP_0x04
Master,2022-03-14 15:24:42.391989,end_send_SMP_0x04
Slave,2022-03-14 15:24:42.412901,recv_SMP_0x03
Slave,2022-03-14 15:24:42.421817,end_recv_SMP_0x03
Slave,2022-03-14 15:24:42.423871,send_SMP_0x03
Slave,2022-03-14 15:24:42.431826,end_send_SMP_0x03
Master,2022-03-14 15:24:42.448042,recv_SMP_0x04
Master,2022-03-14 15:24:42.547972,end_recv_SMP_0x04
Master,2022-03-14 15:24:42.548994,send_SMP_0x03
Master,2022-03-14 15:24:42.552224,end_send_SMP_0x03
Slave,2022-03-14 15:24:42.572896,recv_SMP_0x04
Slave,2022-03-14 15:24:42.587882,end_recv_SMP_0x04
Slave,2022-03-14 15:24:42.589873,send_SMP_0x04
Slave,2022-03-14 15:24:42.591892,end_send_SMP_0x04
Slave,2022-03-14 15:24:42.762880,recv_SMP_0x03
Slave,2022-03-14 15:24:42.771883,end_recv_SMP_0x03
Slave,2022-03-14 15:24:42.773838,send_SMP_0x03
Slave,2022-03-14 15:24:42.781868,end_send_SMP_0x03
Master,2022-03-14 15:24:42.790948,recv_SMP_0x03
Master,2022-03-14 15:24:42.795291,end_recv_SMP_0x03
Master,2022-03-14 15:24:42.839007,send_SMP_0x04
Master,2022-03-14 15:24:42.840305,end_send_SMP_0x04
