device,time,OpCode
Slave,2022-03-14 03:48:34.465151,send_SMP_0x0B
Slave,2022-03-14 03:48:34.477150,end_send_SMP_0x0B
Master,2022-03-14 03:48:34.779309,recv_SMP_0x0B
Master,2022-03-14 03:48:34.787379,end_recv_SMP_0x0B
Slave,2022-03-14 03:48:34.789852,recv_SMP_0x01
Master,2022-03-14 03:48:34.791960,send_SMP_0x01
Master,2022-03-14 03:48:34.795857,end_send_SMP_0x01
Slave,2022-03-14 03:48:34.803170,end_recv_SMP_0x01
Slave,2022-03-14 03:48:34.805925,send_SMP_0x02
Slave,2022-03-14 03:48:34.808132,end_send_SMP_0x02
Master,2022-03-14 03:48:34.977585,recv_SMP_0x02
Master,2022-03-14 03:48:34.987356,end_recv_SMP_0x02
Master,2022-03-14 03:48:34.996146,send_SMP_0x0C
Master,2022-03-14 03:48:35.006363,end_send_SMP_0x0C
Slave,2022-03-14 03:48:35.048544,recv_SMP_0x0C
Slave,2022-03-14 03:48:35.063148,end_recv_SMP_0x0C
Slave,2022-03-14 03:48:35.065135,send_SMP_0x0C
Slave,2022-03-14 03:48:35.067106,end_send_SMP_0x0C
Slave,2022-03-14 03:48:35.381135,recv_SMP_0x03
Slave,2022-03-14 03:48:35.390148,end_recv_SMP_0x03
Slave,2022-03-14 03:48:35.392110,send_SMP_0x03
Slave,2022-03-14 03:48:35.399380,end_send_SMP_0x03
Master,2022-03-14 03:48:35.520625,recv_SMP_0x0C
Master,2022-03-14 03:48:35.527313,end_recv_SMP_0x0C
Master,2022-03-14 03:48:35.534362,send_SMP_0x03
Master,2022-03-14 03:48:35.540273,end_send_SMP_0x03
Slave,2022-03-14 03:48:35.541405,recv_SMP_0x04
Slave,2022-03-14 03:48:35.558704,end_recv_SMP_0x04
Slave,2022-03-14 03:48:35.559614,send_SMP_0x04
Slave,2022-03-14 03:48:35.561684,end_send_SMP_0x04
Slave,2022-03-14 03:48:35.731142,recv_SMP_0x03
Slave,2022-03-14 03:48:35.742209,end_recv_SMP_0x03
Slave,2022-03-14 03:48:35.742689,send_SMP_0x03
Slave,2022-03-14 03:48:35.749307,end_send_SMP_0x03
Master,2022-03-14 03:48:35.751047,recv_SMP_0x03
Master,2022-03-14 03:48:35.758689,end_recv_SMP_0x03
Master,2022-03-14 03:48:35.759912,send_SMP_0x04
Master,2022-03-14 03:48:35.761132,end_send_SMP_0x04
Slave,2022-03-14 03:48:35.892261,recv_SMP_0x04
Slave,2022-03-14 03:48:35.910441,end_recv_SMP_0x04
Slave,2022-03-14 03:48:35.912450,send_SMP_0x04
Master,2022-03-14 03:48:35.914403,recv_SMP_0x04
Slave,2022-03-14 03:48:35.917497,end_send_SMP_0x04
Master,2022-03-14 03:48:35.927001,end_recv_SMP_0x04
Master,2022-03-14 03:48:35.933600,send_SMP_0x03
Master,2022-03-14 03:48:35.945458,end_send_SMP_0x03
Slave,2022-03-14 03:48:36.081103,recv_SMP_0x03
Slave,2022-03-14 03:48:36.090112,end_recv_SMP_0x03
Slave,2022-03-14 03:48:36.092118,send_SMP_0x03
Slave,2022-03-14 03:48:36.099164,end_send_SMP_0x03
Master,2022-03-14 03:48:36.108305,recv_SMP_0x03
Master,2022-03-14 03:48:36.112602,end_recv_SMP_0x03
Master,2022-03-14 03:48:36.114734,send_SMP_0x04
