device,time,OpCode
Slave,2022-03-16 01:01:33.442559,send_SMP_0x0B
Slave,2022-03-16 01:01:33.454515,end_send_SMP_0x0B
Slave,2022-03-16 01:01:33.601552,recv_SMP_0x01
Slave,2022-03-16 01:01:33.616630,end_recv_SMP_0x01
Slave,2022-03-16 01:01:33.618603,send_SMP_0x02
Slave,2022-03-16 01:01:33.620662,end_send_SMP_0x02
Master,2022-03-16 01:01:33.645713,recv_SMP_0x0B
Master,2022-03-16 01:01:33.648780,end_recv_SMP_0x0B
Master,2022-03-16 01:01:33.657155,send_SMP_0x01
Master,2022-03-16 01:01:33.658268,end_send_SMP_0x01
Master,2022-03-16 01:01:33.759728,recv_SMP_0x02
Master,2022-03-16 01:01:33.792960,end_recv_SMP_0x02
Master,2022-03-16 01:01:33.795749,send_SMP_0x0C
Master,2022-03-16 01:01:33.797969,end_send_SMP_0x0C
Slave,2022-03-16 01:01:33.809514,recv_SMP_0x0C
Slave,2022-03-16 01:01:33.825541,end_recv_SMP_0x0C
Slave,2022-03-16 01:01:33.827650,send_SMP_0x0C
Slave,2022-03-16 01:01:33.829550,end_send_SMP_0x0C
Master,2022-03-16 01:01:33.921954,recv_SMP_0x0C
Master,2022-03-16 01:01:33.937941,end_recv_SMP_0x0C
Master,2022-03-16 01:01:33.943061,send_SMP_0x03
Master,2022-03-16 01:01:33.956061,end_send_SMP_0x03
Slave,2022-03-16 01:01:34.058551,recv_SMP_0x03
Slave,2022-03-16 01:01:34.068598,end_recv_SMP_0x03
Slave,2022-03-16 01:01:34.070535,send_SMP_0x03
Slave,2022-03-16 01:01:34.083592,end_send_SMP_0x03
Slave,2022-03-16 01:01:34.171547,recv_SMP_0x04
Slave,2022-03-16 01:01:34.192612,end_recv_SMP_0x04
Slave,2022-03-16 01:01:34.194586,send_SMP_0x04
Slave,2022-03-16 01:01:34.196609,end_send_SMP_0x04
Slave,2022-03-16 01:01:34.358623,recv_SMP_0x03
Master,2022-03-16 01:01:34.358950,recv_SMP_0x03
Slave,2022-03-16 01:01:34.368558,end_recv_SMP_0x03
Master,2022-03-16 01:01:34.368968,end_recv_SMP_0x03
Slave,2022-03-16 01:01:34.370568,send_SMP_0x03
Master,2022-03-16 01:01:34.370877,send_SMP_0x04
Master,2022-03-16 01:01:34.372824,end_send_SMP_0x04
Slave,2022-03-16 01:01:34.383558,end_send_SMP_0x03
Master,2022-03-16 01:01:34.457784,recv_SMP_0x04
Slave,2022-03-16 01:01:34.464563,recv_SMP_0x04
Master,2022-03-16 01:01:34.481057,end_recv_SMP_0x04
Master,2022-03-16 01:01:34.483973,send_SMP_0x03
