device,time,OpCode
Slave,2022-03-14 15:59:21.197803,send_SMP_0x0B
Slave,2022-03-14 15:59:21.208849,end_send_SMP_0x0B
Slave,2022-03-14 15:59:21.521859,recv_SMP_0x01
Slave,2022-03-14 15:59:21.536793,end_recv_SMP_0x01
Slave,2022-03-14 15:59:21.539100,send_SMP_0x02
Slave,2022-03-14 15:59:21.540848,end_send_SMP_0x02
Master,2022-03-14 15:59:21.696921,recv_SMP_0x0B
Master,2022-03-14 15:59:21.700921,end_recv_SMP_0x0B
Master,2022-03-14 15:59:21.703961,send_SMP_0x01
Master,2022-03-14 15:59:21.706467,end_send_SMP_0x01
Slave,2022-03-14 15:59:21.777817,recv_SMP_0x0C
Slave,2022-03-14 15:59:21.794810,end_recv_SMP_0x0C
Slave,2022-03-14 15:59:21.796896,send_SMP_0x0C
Slave,2022-03-14 15:59:21.798832,end_send_SMP_0x0C
Master,2022-03-14 15:59:21.806954,recv_SMP_0x02
Master,2022-03-14 15:59:21.821036,end_recv_SMP_0x02
Master,2022-03-14 15:59:21.825936,send_SMP_0x0C
Master,2022-03-14 15:59:21.828957,end_send_SMP_0x0C
Slave,2022-03-14 15:59:22.111894,recv_SMP_0x03
Slave,2022-03-14 15:59:22.120863,end_recv_SMP_0x03
Slave,2022-03-14 15:59:22.122862,send_SMP_0x03
Slave,2022-03-14 15:59:22.136853,end_send_SMP_0x03
Slave,2022-03-14 15:59:22.272821,recv_SMP_0x04
Slave,2022-03-14 15:59:22.293817,end_recv_SMP_0x04
Slave,2022-03-14 15:59:22.295821,send_SMP_0x04
Slave,2022-03-14 15:59:22.297807,end_send_SMP_0x04
Master,2022-03-14 15:59:22.443930,recv_SMP_0x0C
Master,2022-03-14 15:59:22.453624,end_recv_SMP_0x0C
Master,2022-03-14 15:59:22.459983,send_SMP_0x03
Slave,2022-03-14 15:59:22.461858,recv_SMP_0x03
Slave,2022-03-14 15:59:22.471083,end_recv_SMP_0x03
Master,2022-03-14 15:59:22.472115,end_send_SMP_0x03
Slave,2022-03-14 15:59:22.473458,send_SMP_0x03
Slave,2022-03-14 15:59:22.487375,end_send_SMP_0x03
Slave,2022-03-14 15:59:22.622881,recv_SMP_0x04
Slave,2022-03-14 15:59:22.643849,end_recv_SMP_0x04
Slave,2022-03-14 15:59:22.646134,send_SMP_0x04
Slave,2022-03-14 15:59:22.647821,end_send_SMP_0x04
Master,2022-03-14 15:59:22.648057,recv_SMP_0x03
Master,2022-03-14 15:59:22.651024,end_recv_SMP_0x03
Master,2022-03-14 15:59:22.652957,send_SMP_0x04
Master,2022-03-14 15:59:22.654007,end_send_SMP_0x04
Slave,2022-03-14 15:59:22.811859,recv_SMP_0x03
Slave,2022-03-14 15:59:22.820913,end_recv_SMP_0x03
Slave,2022-03-14 15:59:22.824155,send_SMP_0x03
Master,2022-03-14 15:59:22.826011,recv_SMP_0x04
Slave,2022-03-14 15:59:22.836860,end_send_SMP_0x03
Master,2022-03-14 15:59:22.842013,end_recv_SMP_0x04
Master,2022-03-14 15:59:22.845022,send_SMP_0x03
Master,2022-03-14 15:59:22.852955,end_send_SMP_0x03
Slave,2022-03-14 15:59:22.972830,recv_SMP_0x04
Slave,2022-03-14 15:59:22.993167,end_recv_SMP_0x04
Slave,2022-03-14 15:59:22.994865,send_SMP_0x04
Slave,2022-03-14 15:59:22.997808,end_send_SMP_0x04
Master,2022-03-14 15:59:23.003996,recv_SMP_0x03
Master,2022-03-14 15:59:23.008996,end_recv_SMP_0x03
Master,2022-03-14 15:59:23.012005,send_SMP_0x04
Master,2022-03-14 15:59:23.013021,end_send_SMP_0x04
Slave,2022-03-14 15:59:23.161858,recv_SMP_0x03
Slave,2022-03-14 15:59:23.170920,end_recv_SMP_0x03
Slave,2022-03-14 15:59:23.172889,send_SMP_0x03
Slave,2022-03-14 15:59:23.187017,end_send_SMP_0x03
Master,2022-03-14 15:59:23.189331,recv_SMP_0x04
Master,2022-03-14 15:59:23.200990,end_recv_SMP_0x04
Master,2022-03-14 15:59:23.289984,send_SMP_0x03
Master,2022-03-14 15:59:23.297046,end_send_SMP_0x03
Slave,2022-03-14 15:59:23.322902,recv_SMP_0x04
Slave,2022-03-14 15:59:23.342900,end_recv_SMP_0x04
Slave,2022-03-14 15:59:23.344881,send_SMP_0x04
Slave,2022-03-14 15:59:23.347810,end_send_SMP_0x04
Master,2022-03-14 15:59:23.354100,recv_SMP_0x03
Master,2022-03-14 15:59:23.359002,end_recv_SMP_0x03
Master,2022-03-14 15:59:23.361972,send_SMP_0x04
Master,2022-03-14 15:59:23.363005,end_send_SMP_0x04
Slave,2022-03-14 15:59:23.511838,recv_SMP_0x03
Slave,2022-03-14 15:59:23.520901,end_recv_SMP_0x03
Slave,2022-03-14 15:59:23.522870,send_SMP_0x03
Slave,2022-03-14 15:59:23.536847,end_send_SMP_0x03
Master,2022-03-14 15:59:23.540172,recv_SMP_0x04
Master,2022-03-14 15:59:23.550987,end_recv_SMP_0x04
Master,2022-03-14 15:59:23.640008,send_SMP_0x03
Master,2022-03-14 15:59:23.647049,end_send_SMP_0x03
Slave,2022-03-14 15:59:23.672804,recv_SMP_0x04
Slave,2022-03-14 15:59:23.692914,end_recv_SMP_0x04
Slave,2022-03-14 15:59:23.694894,send_SMP_0x04
Slave,2022-03-14 15:59:23.698306,end_send_SMP_0x04
Master,2022-03-14 15:59:23.703982,recv_SMP_0x03
Master,2022-03-14 15:59:23.709045,end_recv_SMP_0x03
Master,2022-03-14 15:59:23.711962,send_SMP_0x04
Master,2022-03-14 15:59:23.713282,end_send_SMP_0x04
Slave,2022-03-14 15:59:23.861883,recv_SMP_0x03
Slave,2022-03-14 15:59:23.870953,end_recv_SMP_0x03
Slave,2022-03-14 15:59:23.872913,send_SMP_0x03
Slave,2022-03-14 15:59:23.885865,end_send_SMP_0x03
Master,2022-03-14 15:59:23.889243,recv_SMP_0x04
Master,2022-03-14 15:59:23.900120,end_recv_SMP_0x04
Master,2022-03-14 15:59:23.989975,send_SMP_0x03
Master,2022-03-14 15:59:23.997078,end_send_SMP_0x03
Slave,2022-03-14 15:59:24.022845,recv_SMP_0x04
Slave,2022-03-14 15:59:24.042883,end_recv_SMP_0x04
Slave,2022-03-14 15:59:24.044866,send_SMP_0x04
Slave,2022-03-14 15:59:24.046886,end_send_SMP_0x04
Master,2022-03-14 15:59:24.053982,recv_SMP_0x03
Master,2022-03-14 15:59:24.058064,end_recv_SMP_0x03
Master,2022-03-14 15:59:24.061041,send_SMP_0x04
Master,2022-03-14 15:59:24.063005,end_send_SMP_0x04
Slave,2022-03-14 15:59:24.211864,recv_SMP_0x03
Slave,2022-03-14 15:59:24.221077,end_recv_SMP_0x03
Slave,2022-03-14 15:59:24.223749,send_SMP_0x03
Slave,2022-03-14 15:59:24.235908,end_send_SMP_0x03
Master,2022-03-14 15:59:24.239037,recv_SMP_0x04
Master,2022-03-14 15:59:24.250022,end_recv_SMP_0x04
Master,2022-03-14 15:59:24.340120,send_SMP_0x03
Master,2022-03-14 15:59:24.347100,end_send_SMP_0x03
Slave,2022-03-14 15:59:24.372884,recv_SMP_0x04
Slave,2022-03-14 15:59:24.393660,end_recv_SMP_0x04
Slave,2022-03-14 15:59:24.394889,send_SMP_0x04
Slave,2022-03-14 15:59:24.397148,end_send_SMP_0x04
Master,2022-03-14 15:59:24.403976,recv_SMP_0x03
Master,2022-03-14 15:59:24.408076,end_recv_SMP_0x03
Master,2022-03-14 15:59:24.411034,send_SMP_0x04
Master,2022-03-14 15:59:24.413167,end_send_SMP_0x04
Slave,2022-03-14 15:59:24.561931,recv_SMP_0x03
Slave,2022-03-14 15:59:24.571377,end_recv_SMP_0x03
Slave,2022-03-14 15:59:24.572869,send_SMP_0x03
Slave,2022-03-14 15:59:24.585820,end_send_SMP_0x03
Master,2022-03-14 15:59:24.588967,recv_SMP_0x04
Master,2022-03-14 15:59:24.600065,end_recv_SMP_0x04
Master,2022-03-14 15:59:24.689937,send_SMP_0x03
Master,2022-03-14 15:59:24.696998,end_send_SMP_0x03
Slave,2022-03-14 15:59:24.722822,recv_SMP_0x04
Slave,2022-03-14 15:59:24.742919,end_recv_SMP_0x04
Slave,2022-03-14 15:59:24.746064,send_SMP_0x04
Slave,2022-03-14 15:59:24.746977,end_send_SMP_0x04
Master,2022-03-14 15:59:24.753969,recv_SMP_0x03
Master,2022-03-14 15:59:24.758065,end_recv_SMP_0x03
Master,2022-03-14 15:59:24.761036,send_SMP_0x04
Master,2022-03-14 15:59:24.763028,end_send_SMP_0x04
Slave,2022-03-14 15:59:24.911850,recv_SMP_0x03
Slave,2022-03-14 15:59:24.920885,end_recv_SMP_0x03
Slave,2022-03-14 15:59:24.923415,send_SMP_0x03
Slave,2022-03-14 15:59:24.935840,end_send_SMP_0x03
Master,2022-03-14 15:59:24.940163,recv_SMP_0x04
Master,2022-03-14 15:59:24.950120,end_recv_SMP_0x04
Master,2022-03-14 15:59:25.040022,send_SMP_0x03
Master,2022-03-14 15:59:25.047029,end_send_SMP_0x03
Slave,2022-03-14 15:59:25.072855,recv_SMP_0x04
Slave,2022-03-14 15:59:25.092880,end_recv_SMP_0x04
Slave,2022-03-14 15:59:25.094889,send_SMP_0x04
Slave,2022-03-14 15:59:25.096996,end_send_SMP_0x04
Master,2022-03-14 15:59:25.103065,recv_SMP_0x03
Master,2022-03-14 15:59:25.108024,end_recv_SMP_0x03
Master,2022-03-14 15:59:25.111004,send_SMP_0x04
Master,2022-03-14 15:59:25.112994,end_send_SMP_0x04
Slave,2022-03-14 15:59:25.262854,recv_SMP_0x03
Slave,2022-03-14 15:59:25.271887,end_recv_SMP_0x03
Slave,2022-03-14 15:59:25.275440,send_SMP_0x03
Slave,2022-03-14 15:59:25.285888,end_send_SMP_0x03
Master,2022-03-14 15:59:25.289401,recv_SMP_0x04
Master,2022-03-14 15:59:25.300093,end_recv_SMP_0x04
Master,2022-03-14 15:59:25.389993,send_SMP_0x03
Master,2022-03-14 15:59:25.397034,end_send_SMP_0x03
Slave,2022-03-14 15:59:25.422849,recv_SMP_0x04
Slave,2022-03-14 15:59:25.442892,end_recv_SMP_0x04
Slave,2022-03-14 15:59:25.444862,send_SMP_0x04
Slave,2022-03-14 15:59:25.446853,end_send_SMP_0x04
Master,2022-03-14 15:59:25.453033,recv_SMP_0x03
Master,2022-03-14 15:59:25.458025,end_recv_SMP_0x03
Master,2022-03-14 15:59:25.461040,send_SMP_0x04
Master,2022-03-14 15:59:25.462811,end_send_SMP_0x04
Slave,2022-03-14 15:59:25.611933,recv_SMP_0x03
Slave,2022-03-14 15:59:25.620894,end_recv_SMP_0x03
Slave,2022-03-14 15:59:25.622913,send_SMP_0x03
Slave,2022-03-14 15:59:25.635852,end_send_SMP_0x03
Master,2022-03-14 15:59:25.638561,recv_SMP_0x04
Master,2022-03-14 15:59:25.650047,end_recv_SMP_0x04
Master,2022-03-14 15:59:25.741199,send_SMP_0x03
Master,2022-03-14 15:59:25.747160,end_send_SMP_0x03
Slave,2022-03-14 15:59:25.772878,recv_SMP_0x04
Slave,2022-03-14 15:59:25.792894,end_recv_SMP_0x04
Slave,2022-03-14 15:59:25.795272,send_SMP_0x04
Slave,2022-03-14 15:59:25.797524,end_send_SMP_0x04
Master,2022-03-14 15:59:25.803152,recv_SMP_0x03
Master,2022-03-14 15:59:25.808180,end_recv_SMP_0x03
Master,2022-03-14 15:59:25.811054,send_SMP_0x04
Master,2022-03-14 15:59:25.812046,end_send_SMP_0x04
Slave,2022-03-14 15:59:26.013875,recv_SMP_0x0D
Master,2022-03-14 15:59:26.051032,recv_SMP_0x04
Master,2022-03-14 15:59:26.073886,end_recv_SMP_0x04
Master,2022-03-14 15:59:26.076630,send_SMP_0x03
