device,time,OpCode
Slave,2022-03-13 07:26:24.189181,recv_SMP_0x04
Master,2022-03-13 07:26:24.190373,recv_SMP_0x04
Slave,2022-03-13 07:26:24.210151,end_recv_SMP_0x04
Slave,2022-03-13 07:26:24.212962,send_SMP_0x04
Master,2022-03-13 07:26:24.214871,end_recv_SMP_0x04
Slave,2022-03-13 07:26:24.217275,end_send_SMP_0x04
Master,2022-03-13 07:26:24.220397,send_SMP_0x03
Master,2022-03-13 07:26:24.224223,end_send_SMP_0x03
Slave,2022-03-13 07:26:24.379128,recv_SMP_0x03
Slave,2022-03-13 07:26:24.388177,end_recv_SMP_0x03
Master,2022-03-13 07:26:24.388424,recv_SMP_0x03
Slave,2022-03-13 07:26:24.390144,send_SMP_0x03
Master,2022-03-13 07:26:24.395334,end_recv_SMP_0x03
Master,2022-03-13 07:26:24.401263,send_SMP_0x04
Slave,2022-03-13 07:26:24.413003,end_send_SMP_0x03
Master,2022-03-13 07:26:24.414642,end_send_SMP_0x04
Slave,2022-03-13 07:26:24.539168,recv_SMP_0x04
Master,2022-03-13 07:26:24.542762,recv_SMP_0x04
Slave,2022-03-13 07:26:24.560571,end_recv_SMP_0x04
Slave,2022-03-13 07:26:24.562252,send_SMP_0x04
Master,2022-03-13 07:26:24.562835,end_recv_SMP_0x04
Slave,2022-03-13 07:26:24.564138,end_send_SMP_0x04
Master,2022-03-13 07:26:24.564437,send_SMP_0x03
Master,2022-03-13 07:26:24.570431,end_send_SMP_0x03
Slave,2022-03-13 07:26:24.729071,recv_SMP_0x03
Slave,2022-03-13 07:26:24.738151,end_recv_SMP_0x03
Master,2022-03-13 07:26:24.739051,recv_SMP_0x03
Slave,2022-03-13 07:26:24.740138,send_SMP_0x03
Master,2022-03-13 07:26:24.745347,end_recv_SMP_0x03
Master,2022-03-13 07:26:24.750536,send_SMP_0x04
Slave,2022-03-13 07:26:24.757564,end_send_SMP_0x03
Master,2022-03-13 07:26:24.758777,end_send_SMP_0x04
Slave,2022-03-13 07:26:24.889190,recv_SMP_0x04
Master,2022-03-13 07:26:24.889474,recv_SMP_0x04
Slave,2022-03-13 07:26:24.910148,end_recv_SMP_0x04
Slave,2022-03-13 07:26:24.911296,send_SMP_0x04
Master,2022-03-13 07:26:24.911598,end_recv_SMP_0x04
Slave,2022-03-13 07:26:24.914135,end_send_SMP_0x04
Master,2022-03-13 07:26:24.914384,send_SMP_0x03
Master,2022-03-13 07:26:24.919319,end_send_SMP_0x03
Slave,2022-03-13 07:26:25.079111,recv_SMP_0x03
Slave,2022-03-13 07:26:25.088816,end_recv_SMP_0x03
Master,2022-03-13 07:26:25.089556,recv_SMP_0x03
Slave,2022-03-13 07:26:25.090162,send_SMP_0x03
Master,2022-03-13 07:26:25.095292,end_recv_SMP_0x03
Master,2022-03-13 07:26:25.100355,send_SMP_0x04
Slave,2022-03-13 07:26:25.103107,end_send_SMP_0x03
Master,2022-03-13 07:26:25.104275,end_send_SMP_0x04
Slave,2022-03-13 07:26:25.239222,recv_SMP_0x04
Master,2022-03-13 07:26:25.240653,recv_SMP_0x04
Slave,2022-03-13 07:26:25.259336,end_recv_SMP_0x04
Slave,2022-03-13 07:26:25.261191,send_SMP_0x04
Master,2022-03-13 07:26:25.262109,end_recv_SMP_0x04
Slave,2022-03-13 07:26:25.264156,end_send_SMP_0x04
Master,2022-03-13 07:26:25.264416,send_SMP_0x03
Master,2022-03-13 07:26:25.269327,end_send_SMP_0x03
Slave,2022-03-13 07:26:25.429247,recv_SMP_0x03
Slave,2022-03-13 07:26:25.438739,end_recv_SMP_0x03
Master,2022-03-13 07:26:25.439937,recv_SMP_0x03
Slave,2022-03-13 07:26:25.441176,send_SMP_0x03
Master,2022-03-13 07:26:25.444656,end_recv_SMP_0x03
Master,2022-03-13 07:26:25.450346,send_SMP_0x04
Slave,2022-03-13 07:26:25.453193,end_send_SMP_0x03
Master,2022-03-13 07:26:25.454479,end_send_SMP_0x04
Slave,2022-03-13 07:26:25.589167,recv_SMP_0x04
Master,2022-03-13 07:26:25.589645,recv_SMP_0x04
Slave,2022-03-13 07:26:25.609296,end_recv_SMP_0x04
Slave,2022-03-13 07:26:25.611153,send_SMP_0x04
Master,2022-03-13 07:26:25.611434,end_recv_SMP_0x04
Slave,2022-03-13 07:26:25.613176,end_send_SMP_0x04
Master,2022-03-13 07:26:25.614128,send_SMP_0x03
Master,2022-03-13 07:26:25.620194,end_send_SMP_0x03
Slave,2022-03-13 07:26:25.779304,recv_SMP_0x03
Slave,2022-03-13 07:26:25.788200,end_recv_SMP_0x03
Master,2022-03-13 07:26:25.789730,recv_SMP_0x03
Slave,2022-03-13 07:26:25.791111,send_SMP_0x03
Master,2022-03-13 07:26:25.794334,end_recv_SMP_0x03
Master,2022-03-13 07:26:25.800863,send_SMP_0x04
Slave,2022-03-13 07:26:25.802398,end_send_SMP_0x03
Master,2022-03-13 07:26:25.803911,end_send_SMP_0x04
Slave,2022-03-13 07:26:25.939174,recv_SMP_0x04
Master,2022-03-13 07:26:25.941023,recv_SMP_0x04
Slave,2022-03-13 07:26:25.959186,end_recv_SMP_0x04
Slave,2022-03-13 07:26:25.961130,send_SMP_0x04
Master,2022-03-13 07:26:25.961404,end_recv_SMP_0x04
Slave,2022-03-13 07:26:25.963600,end_send_SMP_0x04
Master,2022-03-13 07:26:25.964170,send_SMP_0x03
Master,2022-03-13 07:26:25.968368,end_send_SMP_0x03
Slave,2022-03-13 07:26:26.181812,recv_SMP_0x0D
Master,2022-03-13 07:26:26.190419,recv_SMP_0x03
Master,2022-03-13 07:26:26.203301,end_recv_SMP_0x03
Master,2022-03-13 07:26:26.209219,send_SMP_0x04
Master,2022-03-13 07:26:26.211348,end_send_SMP_0x04
Slave,2022-03-13 07:26:26.258131,end_recv_SMP_0x0D
Slave,2022-03-13 07:26:26.262210,send_SMP_0x0D
Slave,2022-03-13 07:26:26.264217,end_send_SMP_0x0D
Master,2022-03-13 07:26:26.274318,recv_SMP_0x04
Master,2022-03-13 07:26:26.328613,end_recv_SMP_0x04
Master,2022-03-13 07:26:26.358405,send_SMP_0x0D
Master,2022-03-13 07:26:26.360322,end_send_SMP_0x0D
Master,2022-03-13 07:26:26.919292,recv_SMP_0x0D
Master,2022-03-13 07:26:27.068319,end_recv_SMP_0x0D
Slave,2022-03-13 07:26:27.114460,send_SMP_0x0F
Slave,2022-03-13 07:26:27.116163,end_send_SMP_0x0F
Slave,2022-03-13 07:26:27.118238,send_SMP_0x08
Slave,2022-03-13 07:26:27.121722,end_send_SMP_0x08
Slave,2022-03-13 07:26:27.123700,send_SMP_0x09
Slave,2022-03-13 07:26:27.125281,end_send_SMP_0x09
Slave,2022-03-13 07:26:27.129510,send_SMP_0x0A
Slave,2022-03-13 07:26:27.171169,end_send_SMP_0x0A
Master,2022-03-13 07:26:27.336656,recv_SMP_0x0F
Master,2022-03-13 07:26:27.341173,end_recv_SMP_0x0F
Master,2022-03-13 07:26:27.363369,recv_SMP_0x08
Master,2022-03-13 07:26:27.367347,end_recv_SMP_0x08
Master,2022-03-13 07:26:27.621342,recv_SMP_0x09
Slave,2022-03-13 07:26:27.653232,recv_SMP_0x0F
Slave,2022-03-13 07:26:27.664159,end_recv_SMP_0x0F
Slave,2022-03-13 07:26:27.686447,recv_SMP_0x08
Slave,2022-03-13 07:26:27.692386,end_recv_SMP_0x08
Slave,2022-03-13 07:26:27.713165,recv_SMP_0x09
Master,2022-03-13 07:26:27.778461,end_recv_SMP_0x09
Master,2022-03-13 07:26:27.803616,recv_SMP_0x0A
Master,2022-03-13 07:26:27.811353,end_recv_SMP_0x0A
Master,2022-03-13 07:26:27.826298,send_SMP_0x0F
Master,2022-03-13 07:26:27.827866,end_send_SMP_0x0F
Master,2022-03-13 07:26:27.831323,send_SMP_0x08
Master,2022-03-13 07:26:27.835350,end_send_SMP_0x08
Master,2022-03-13 07:26:27.837265,send_SMP_0x09
Master,2022-03-13 07:26:27.840217,end_send_SMP_0x09
Master,2022-03-13 07:26:27.844293,send_SMP_0x0A
Slave,2022-03-13 07:26:27.884194,end_recv_SMP_0x09
Slave,2022-03-13 07:26:27.906338,recv_SMP_0x0A
Slave,2022-03-13 07:26:27.912432,end_recv_SMP_0x0A
Master,2022-03-13 07:26:27.921469,end_send_SMP_0x0A
