device,time,OpCode
Slave,2022-03-14 03:46:10.354892,send_SMP_0x0B
Slave,2022-03-14 03:46:10.366659,end_send_SMP_0x0B
Master,2022-03-14 03:46:10.673934,recv_SMP_0x0B
Slave,2022-03-14 03:46:10.678682,recv_SMP_0x01
Master,2022-03-14 03:46:10.680227,end_recv_SMP_0x0B
Master,2022-03-14 03:46:10.683067,send_SMP_0x01
Master,2022-03-14 03:46:10.684783,end_send_SMP_0x01
Slave,2022-03-14 03:46:10.692705,end_recv_SMP_0x01
Slave,2022-03-14 03:46:10.694735,send_SMP_0x02
Slave,2022-03-14 03:46:10.696868,end_send_SMP_0x02
Master,2022-03-14 03:46:10.865881,recv_SMP_0x02
Master,2022-03-14 03:46:10.878023,end_recv_SMP_0x02
Master,2022-03-14 03:46:10.897347,send_SMP_0x0C
Master,2022-03-14 03:46:10.898065,end_send_SMP_0x0C
Slave,2022-03-14 03:46:10.936941,recv_SMP_0x0C
Slave,2022-03-14 03:46:10.953006,end_recv_SMP_0x0C
Slave,2022-03-14 03:46:10.957836,send_SMP_0x0C
Slave,2022-03-14 03:46:10.960773,end_send_SMP_0x0C
Slave,2022-03-14 03:46:11.220684,recv_SMP_0x03
Slave,2022-03-14 03:46:11.229719,end_recv_SMP_0x03
Slave,2022-03-14 03:46:11.231708,send_SMP_0x03
Slave,2022-03-14 03:46:11.240283,end_send_SMP_0x03
Master,2022-03-14 03:46:11.373969,recv_SMP_0x0C
Slave,2022-03-14 03:46:11.380688,recv_SMP_0x04
Master,2022-03-14 03:46:11.386975,end_recv_SMP_0x0C
Master,2022-03-14 03:46:11.394858,send_SMP_0x03
Slave,2022-03-14 03:46:11.396947,end_recv_SMP_0x04
Slave,2022-03-14 03:46:11.398792,send_SMP_0x04
Master,2022-03-14 03:46:11.400366,end_send_SMP_0x03
Slave,2022-03-14 03:46:11.403409,end_send_SMP_0x04
Slave,2022-03-14 03:46:11.570703,recv_SMP_0x03
Slave,2022-03-14 03:46:11.579722,end_recv_SMP_0x03
Slave,2022-03-14 03:46:11.581685,send_SMP_0x03
Slave,2022-03-14 03:46:11.589678,end_send_SMP_0x03
Master,2022-03-14 03:46:11.590304,recv_SMP_0x03
Master,2022-03-14 03:46:11.594854,end_recv_SMP_0x03
Master,2022-03-14 03:46:11.597890,send_SMP_0x04
Master,2022-03-14 03:46:11.598923,end_send_SMP_0x04
Slave,2022-03-14 03:46:11.730735,recv_SMP_0x04
Slave,2022-03-14 03:46:11.745724,end_recv_SMP_0x04
Slave,2022-03-14 03:46:11.747706,send_SMP_0x04
Slave,2022-03-14 03:46:11.749880,end_send_SMP_0x04
Master,2022-03-14 03:46:11.751417,recv_SMP_0x04
Master,2022-03-14 03:46:11.756058,end_recv_SMP_0x04
Master,2022-03-14 03:46:11.759138,send_SMP_0x03
Master,2022-03-14 03:46:11.762661,end_send_SMP_0x03
Slave,2022-03-14 03:46:11.970686,recv_SMP_0x03
Slave,2022-03-14 03:46:11.979683,end_recv_SMP_0x03
Slave,2022-03-14 03:46:11.982428,send_SMP_0x03
Slave,2022-03-14 03:46:11.989379,end_send_SMP_0x03
Master,2022-03-14 03:46:11.998920,recv_SMP_0x03
Master,2022-03-14 03:46:12.003938,end_recv_SMP_0x03
Master,2022-03-14 03:46:12.098837,send_SMP_0x04
Master,2022-03-14 03:46:12.101434,end_send_SMP_0x04
Slave,2022-03-14 03:46:12.131180,recv_SMP_0x04
Slave,2022-03-14 03:46:12.145716,end_recv_SMP_0x04
Slave,2022-03-14 03:46:12.147785,send_SMP_0x04
Slave,2022-03-14 03:46:12.149703,end_send_SMP_0x04
Master,2022-03-14 03:46:12.159743,recv_SMP_0x04
Master,2022-03-14 03:46:12.164945,end_recv_SMP_0x04
Master,2022-03-14 03:46:12.247991,send_SMP_0x03
Master,2022-03-14 03:46:12.251960,end_send_SMP_0x03
Slave,2022-03-14 03:46:12.320713,recv_SMP_0x03
Slave,2022-03-14 03:46:12.329724,end_recv_SMP_0x03
Slave,2022-03-14 03:46:12.331700,send_SMP_0x03
Slave,2022-03-14 03:46:12.339726,end_send_SMP_0x03
Master,2022-03-14 03:46:12.348825,recv_SMP_0x03
Master,2022-03-14 03:46:12.354186,end_recv_SMP_0x03
Master,2022-03-14 03:46:12.448013,send_SMP_0x04
Master,2022-03-14 03:46:12.450920,end_send_SMP_0x04
Slave,2022-03-14 03:46:12.480739,recv_SMP_0x04
Slave,2022-03-14 03:46:12.495750,end_recv_SMP_0x04
Slave,2022-03-14 03:46:12.497723,send_SMP_0x04
Slave,2022-03-14 03:46:12.499718,end_send_SMP_0x04
Master,2022-03-14 03:46:12.508610,recv_SMP_0x04
Master,2022-03-14 03:46:12.515004,end_recv_SMP_0x04
Master,2022-03-14 03:46:12.597967,send_SMP_0x03
Master,2022-03-14 03:46:12.602019,end_send_SMP_0x03
Slave,2022-03-14 03:46:12.670713,recv_SMP_0x03
Slave,2022-03-14 03:46:12.679722,end_recv_SMP_0x03
Slave,2022-03-14 03:46:12.682871,send_SMP_0x03
Slave,2022-03-14 03:46:12.690185,end_send_SMP_0x03
Master,2022-03-14 03:46:12.698242,recv_SMP_0x03
Master,2022-03-14 03:46:12.703937,end_recv_SMP_0x03
Master,2022-03-14 03:46:12.798839,send_SMP_0x04
Master,2022-03-14 03:46:12.801178,end_send_SMP_0x04
Slave,2022-03-14 03:46:12.830725,recv_SMP_0x04
Slave,2022-03-14 03:46:12.845758,end_recv_SMP_0x04
Slave,2022-03-14 03:46:12.847740,send_SMP_0x04
Slave,2022-03-14 03:46:12.849694,end_send_SMP_0x04
Master,2022-03-14 03:46:12.856297,recv_SMP_0x04
Master,2022-03-14 03:46:12.865541,end_recv_SMP_0x04
