device,time,OpCode
Slave,2022-03-14 15:53:51.745499,send_SMP_0x0B
Slave,2022-03-14 15:53:51.757426,end_send_SMP_0x0B
Master,2022-03-14 15:53:52.038906,recv_SMP_0x0B
Master,2022-03-14 15:53:52.040622,end_recv_SMP_0x0B
Master,2022-03-14 15:53:52.043578,send_SMP_0x01
Master,2022-03-14 15:53:52.045600,end_send_SMP_0x01
Slave,2022-03-14 15:53:52.070451,recv_SMP_0x01
Slave,2022-03-14 15:53:52.084495,end_recv_SMP_0x01
Slave,2022-03-14 15:53:52.086499,send_SMP_0x02
Slave,2022-03-14 15:53:52.088535,end_send_SMP_0x02
Master,2022-03-14 15:53:52.189787,recv_SMP_0x02
Master,2022-03-14 15:53:52.242619,end_recv_SMP_0x02
Master,2022-03-14 15:53:52.244602,send_SMP_0x0C
Master,2022-03-14 15:53:52.247701,end_send_SMP_0x0C
Slave,2022-03-14 15:53:52.326494,recv_SMP_0x0C
Slave,2022-03-14 15:53:52.342545,end_recv_SMP_0x0C
Slave,2022-03-14 15:53:52.344539,send_SMP_0x0C
Slave,2022-03-14 15:53:52.347436,end_send_SMP_0x0C
Slave,2022-03-14 15:53:52.610469,recv_SMP_0x03
Slave,2022-03-14 15:53:52.619476,end_recv_SMP_0x03
Slave,2022-03-14 15:53:52.621490,send_SMP_0x03
Slave,2022-03-14 15:53:52.629486,end_send_SMP_0x03
Master,2022-03-14 15:53:52.643682,recv_SMP_0x0C
Master,2022-03-14 15:53:52.743617,end_recv_SMP_0x0C
Master,2022-03-14 15:53:52.746640,send_SMP_0x03
Master,2022-03-14 15:53:52.749618,end_send_SMP_0x03
Slave,2022-03-14 15:53:52.770507,recv_SMP_0x04
Slave,2022-03-14 15:53:52.785525,end_recv_SMP_0x04
Slave,2022-03-14 15:53:52.787512,send_SMP_0x04
Slave,2022-03-14 15:53:52.790523,end_send_SMP_0x04
Master,2022-03-14 15:53:52.942663,recv_SMP_0x03
Master,2022-03-14 15:53:52.948665,end_recv_SMP_0x03
Master,2022-03-14 15:53:52.950617,send_SMP_0x04
Master,2022-03-14 15:53:52.956389,end_send_SMP_0x04
Slave,2022-03-14 15:53:52.960473,recv_SMP_0x03
