device,time,OpCode
Slave,2022-03-16 01:05:30.146480,send_SMP_0x0B
Slave,2022-03-16 01:05:30.157786,end_send_SMP_0x0B
Slave,2022-03-16 01:05:30.305527,recv_SMP_0x01
Master,2022-03-16 01:05:30.317721,recv_SMP_0x0B
Slave,2022-03-16 01:05:30.320536,end_recv_SMP_0x01
Slave,2022-03-16 01:05:30.324439,send_SMP_0x02
Master,2022-03-16 01:05:30.324870,end_recv_SMP_0x0B
Slave,2022-03-16 01:05:30.327721,end_send_SMP_0x02
Master,2022-03-16 01:05:30.328413,send_SMP_0x01
Master,2022-03-16 01:05:30.328889,end_send_SMP_0x01
Master,2022-03-16 01:05:30.427729,recv_SMP_0x02
Master,2022-03-16 01:05:30.462515,end_recv_SMP_0x02
Master,2022-03-16 01:05:30.472557,send_SMP_0x0C
Master,2022-03-16 01:05:30.477241,end_send_SMP_0x0C
Slave,2022-03-16 01:05:30.512520,recv_SMP_0x0C
Slave,2022-03-16 01:05:30.529224,end_recv_SMP_0x0C
Slave,2022-03-16 01:05:30.530567,send_SMP_0x0C
Slave,2022-03-16 01:05:30.532572,end_send_SMP_0x0C
Master,2022-03-16 01:05:30.625046,recv_SMP_0x0C
Master,2022-03-16 01:05:30.641034,end_recv_SMP_0x0C
Master,2022-03-16 01:05:30.646081,send_SMP_0x03
Master,2022-03-16 01:05:30.660038,end_send_SMP_0x03
Slave,2022-03-16 01:05:30.762524,recv_SMP_0x03
Slave,2022-03-16 01:05:30.771626,end_recv_SMP_0x03
Slave,2022-03-16 01:05:30.773538,send_SMP_0x03
Slave,2022-03-16 01:05:30.787523,end_send_SMP_0x03
Slave,2022-03-16 01:05:30.874518,recv_SMP_0x04
Slave,2022-03-16 01:05:30.896561,end_recv_SMP_0x04
Slave,2022-03-16 01:05:30.898448,send_SMP_0x04
Slave,2022-03-16 01:05:30.900642,end_send_SMP_0x04
Master,2022-03-16 01:05:31.052684,recv_SMP_0x03
Slave,2022-03-16 01:05:31.062527,recv_SMP_0x03
Master,2022-03-16 01:05:31.063514,end_recv_SMP_0x03
Master,2022-03-16 01:05:31.064666,send_SMP_0x04
Master,2022-03-16 01:05:31.069752,end_send_SMP_0x04
Slave,2022-03-16 01:05:31.071590,end_recv_SMP_0x03
Slave,2022-03-16 01:05:31.073550,send_SMP_0x03
Slave,2022-03-16 01:05:31.087505,end_send_SMP_0x03
Master,2022-03-16 01:05:31.152750,recv_SMP_0x04
Slave,2022-03-16 01:05:31.167595,recv_SMP_0x04
Master,2022-03-16 01:05:31.173227,end_recv_SMP_0x04
Master,2022-03-16 01:05:31.177600,send_SMP_0x03
Slave,2022-03-16 01:05:31.188593,end_recv_SMP_0x04
Master,2022-03-16 01:05:31.188993,end_send_SMP_0x03
Slave,2022-03-16 01:05:31.192713,send_SMP_0x04
Slave,2022-03-16 01:05:31.193428,end_send_SMP_0x04
Master,2022-03-16 01:05:31.352782,recv_SMP_0x03
Slave,2022-03-16 01:05:31.362560,recv_SMP_0x03
Master,2022-03-16 01:05:31.365459,end_recv_SMP_0x03
Master,2022-03-16 01:05:31.366468,send_SMP_0x04
Master,2022-03-16 01:05:31.370113,end_send_SMP_0x04
Slave,2022-03-16 01:05:31.372163,end_recv_SMP_0x03
Slave,2022-03-16 01:05:31.373610,send_SMP_0x03
Slave,2022-03-16 01:05:31.386583,end_send_SMP_0x03
Master,2022-03-16 01:05:31.465790,recv_SMP_0x04
Slave,2022-03-16 01:05:31.467682,recv_SMP_0x04
Slave,2022-03-16 01:05:31.489064,end_recv_SMP_0x04
Master,2022-03-16 01:05:31.490974,end_recv_SMP_0x04
Slave,2022-03-16 01:05:31.491331,send_SMP_0x04
Master,2022-03-16 01:05:31.492191,send_SMP_0x03
Slave,2022-03-16 01:05:31.492914,end_send_SMP_0x04
Master,2022-03-16 01:05:31.496918,end_send_SMP_0x03
Slave,2022-03-16 01:05:31.662520,recv_SMP_0x03
Master,2022-03-16 01:05:31.669675,recv_SMP_0x03
Slave,2022-03-16 01:05:31.671526,end_recv_SMP_0x03
Slave,2022-03-16 01:05:31.673633,send_SMP_0x03
Master,2022-03-16 01:05:31.676675,end_recv_SMP_0x03
Master,2022-03-16 01:05:31.678680,send_SMP_0x04
Master,2022-03-16 01:05:31.684817,end_send_SMP_0x04
Slave,2022-03-16 01:05:31.686542,end_send_SMP_0x03
Master,2022-03-16 01:05:31.765868,recv_SMP_0x04
Slave,2022-03-16 01:05:31.769200,recv_SMP_0x04
Slave,2022-03-16 01:05:31.797248,end_recv_SMP_0x04
Master,2022-03-16 01:05:31.802723,end_recv_SMP_0x04
Slave,2022-03-16 01:05:31.807427,send_SMP_0x04
Master,2022-03-16 01:05:31.809082,send_SMP_0x03
Slave,2022-03-16 01:05:31.812127,end_send_SMP_0x04
Master,2022-03-16 01:05:31.822871,end_send_SMP_0x03
Slave,2022-03-16 01:05:31.962595,recv_SMP_0x03
Master,2022-03-16 01:05:31.969867,recv_SMP_0x03
Slave,2022-03-16 01:05:31.972029,end_recv_SMP_0x03
Slave,2022-03-16 01:05:31.976040,send_SMP_0x03
Master,2022-03-16 01:05:31.979440,end_recv_SMP_0x03
Master,2022-03-16 01:05:31.981043,send_SMP_0x04
Master,2022-03-16 01:05:31.984820,end_send_SMP_0x04
Slave,2022-03-16 01:05:31.986957,end_send_SMP_0x03
Master,2022-03-16 01:05:32.066688,recv_SMP_0x04
Slave,2022-03-16 01:05:32.067602,recv_SMP_0x04
Slave,2022-03-16 01:05:32.088535,end_recv_SMP_0x04
Master,2022-03-16 01:05:32.088882,end_recv_SMP_0x04
Slave,2022-03-16 01:05:32.090498,send_SMP_0x04
Master,2022-03-16 01:05:32.090780,send_SMP_0x03
Slave,2022-03-16 01:05:32.092554,end_send_SMP_0x04
