device,time,OpCode
Slave,2022-03-15 23:37:27.429312,send_SMP_0x0B
Slave,2022-03-15 23:37:27.440307,end_send_SMP_0x0B
Slave,2022-03-15 23:37:27.588347,recv_SMP_0x01
Master,2022-03-15 23:37:27.590448,recv_SMP_0x0B
Master,2022-03-15 23:37:27.593494,end_recv_SMP_0x0B
Master,2022-03-15 23:37:27.597443,send_SMP_0x01
Master,2022-03-15 23:37:27.601430,end_send_SMP_0x01
Slave,2022-03-15 23:37:27.602327,end_recv_SMP_0x01
Slave,2022-03-15 23:37:27.604370,send_SMP_0x02
Slave,2022-03-15 23:37:27.607274,end_send_SMP_0x02
Master,2022-03-15 23:37:27.699950,recv_SMP_0x02
Master,2022-03-15 23:37:27.715371,end_recv_SMP_0x02
Master,2022-03-15 23:37:27.731439,send_SMP_0x0C
Master,2022-03-15 23:37:27.733460,end_send_SMP_0x0C
Slave,2022-03-15 23:37:27.888739,recv_SMP_0x0C
Slave,2022-03-15 23:37:27.897451,end_recv_SMP_0x0C
Slave,2022-03-15 23:37:27.899514,send_SMP_0x0C
Slave,2022-03-15 23:37:27.903788,end_send_SMP_0x0C
Master,2022-03-15 23:37:27.907876,recv_SMP_0x0C
Master,2022-03-15 23:37:27.923699,end_recv_SMP_0x0C
Master,2022-03-15 23:37:27.929683,send_SMP_0x03
Master,2022-03-15 23:37:27.937664,end_send_SMP_0x03
Slave,2022-03-15 23:37:28.004744,recv_SMP_0x03
Slave,2022-03-15 23:37:28.013780,end_recv_SMP_0x03
Slave,2022-03-15 23:37:28.015949,send_SMP_0x03
Slave,2022-03-15 23:37:28.021297,end_send_SMP_0x03
Slave,2022-03-15 23:37:28.158282,recv_SMP_0x04
Slave,2022-03-15 23:37:28.173293,end_recv_SMP_0x04
Slave,2022-03-15 23:37:28.175310,send_SMP_0x04
Slave,2022-03-15 23:37:28.177317,end_send_SMP_0x04
Master,2022-03-15 23:37:28.189504,recv_SMP_0x03
Master,2022-03-15 23:37:28.272636,end_recv_SMP_0x03
Master,2022-03-15 23:37:28.273496,send_SMP_0x04
Master,2022-03-15 23:37:28.274468,end_send_SMP_0x04
Slave,2022-03-15 23:37:28.345287,recv_SMP_0x03
Slave,2022-03-15 23:37:28.354337,end_recv_SMP_0x03
Slave,2022-03-15 23:37:28.356352,send_SMP_0x03
Slave,2022-03-15 23:37:28.364300,end_send_SMP_0x03
Master,2022-03-15 23:37:28.366304,recv_SMP_0x04
Master,2022-03-15 23:37:28.375508,end_recv_SMP_0x04
Master,2022-03-15 23:37:28.432261,send_SMP_0x03
Master,2022-03-15 23:37:28.436431,end_send_SMP_0x03
Slave,2022-03-15 23:37:28.450842,recv_SMP_0x04
Slave,2022-03-15 23:37:28.468132,end_recv_SMP_0x04
Slave,2022-03-15 23:37:28.472646,send_SMP_0x04
Slave,2022-03-15 23:37:28.474159,end_send_SMP_0x04
Master,2022-03-15 23:37:28.478585,recv_SMP_0x03
Master,2022-03-15 23:37:28.486913,end_recv_SMP_0x03
Master,2022-03-15 23:37:28.489866,send_SMP_0x04
Master,2022-03-15 23:37:28.490967,end_send_SMP_0x04
Slave,2022-03-15 23:37:28.645358,recv_SMP_0x03
Slave,2022-03-15 23:37:28.654464,end_recv_SMP_0x03
Slave,2022-03-15 23:37:28.656480,send_SMP_0x03
Slave,2022-03-15 23:37:28.664334,end_send_SMP_0x03
Master,2022-03-15 23:37:28.675485,recv_SMP_0x04
Master,2022-03-15 23:37:28.739502,end_recv_SMP_0x04
Master,2022-03-15 23:37:28.743487,send_SMP_0x03
Master,2022-03-15 23:37:28.748537,end_send_SMP_0x03
Slave,2022-03-15 23:37:28.750384,recv_SMP_0x04
Slave,2022-03-15 23:37:28.766356,end_recv_SMP_0x04
Slave,2022-03-15 23:37:28.767836,send_SMP_0x04
Slave,2022-03-15 23:37:28.770396,end_send_SMP_0x04
Master,2022-03-15 23:37:28.782516,recv_SMP_0x03
Master,2022-03-15 23:37:28.881552,end_recv_SMP_0x03
Master,2022-03-15 23:37:28.883738,send_SMP_0x04
Master,2022-03-15 23:37:28.886483,end_send_SMP_0x04
Slave,2022-03-15 23:37:28.895444,recv_SMP_0x03
Slave,2022-03-15 23:37:28.904441,end_recv_SMP_0x03
Slave,2022-03-15 23:37:28.906408,send_SMP_0x03
Slave,2022-03-15 23:37:28.914377,end_send_SMP_0x03
Master,2022-03-15 23:37:28.925699,recv_SMP_0x04
Master,2022-03-15 23:37:28.989473,end_recv_SMP_0x04
Master,2022-03-15 23:37:28.994450,send_SMP_0x03
Master,2022-03-15 23:37:28.999495,end_send_SMP_0x03
Slave,2022-03-15 23:37:29.000369,recv_SMP_0x04
Slave,2022-03-15 23:37:29.016321,end_recv_SMP_0x04
Slave,2022-03-15 23:37:29.018313,send_SMP_0x04
Slave,2022-03-15 23:37:29.020482,end_send_SMP_0x04
Master,2022-03-15 23:37:29.032502,recv_SMP_0x03
Master,2022-03-15 23:37:29.181545,end_recv_SMP_0x03
Master,2022-03-15 23:37:29.183853,send_SMP_0x04
Master,2022-03-15 23:37:29.186479,end_send_SMP_0x04
Slave,2022-03-15 23:37:29.195345,recv_SMP_0x03
Slave,2022-03-15 23:37:29.204319,end_recv_SMP_0x03
Slave,2022-03-15 23:37:29.206340,send_SMP_0x03
Slave,2022-03-15 23:37:29.214342,end_send_SMP_0x03
Master,2022-03-15 23:37:29.225448,recv_SMP_0x04
Master,2022-03-15 23:37:29.289600,end_recv_SMP_0x04
Master,2022-03-15 23:37:29.293521,send_SMP_0x03
Master,2022-03-15 23:37:29.300932,end_send_SMP_0x03
Slave,2022-03-15 23:37:29.301230,recv_SMP_0x04
Slave,2022-03-15 23:37:29.316417,end_recv_SMP_0x04
Slave,2022-03-15 23:37:29.318462,send_SMP_0x04
Slave,2022-03-15 23:37:29.320323,end_send_SMP_0x04
Master,2022-03-15 23:37:29.333297,recv_SMP_0x03
Master,2022-03-15 23:37:29.482896,end_recv_SMP_0x03
Master,2022-03-15 23:37:29.483538,send_SMP_0x04
Master,2022-03-15 23:37:29.486703,end_send_SMP_0x04
Slave,2022-03-15 23:37:29.495357,recv_SMP_0x03
Slave,2022-03-15 23:37:29.504375,end_recv_SMP_0x03
Slave,2022-03-15 23:37:29.506320,send_SMP_0x03
Slave,2022-03-15 23:37:29.514858,end_send_SMP_0x03
Master,2022-03-15 23:37:29.525604,recv_SMP_0x04
Master,2022-03-15 23:37:29.589500,end_recv_SMP_0x04
Master,2022-03-15 23:37:29.594468,send_SMP_0x03
Master,2022-03-15 23:37:29.598604,end_send_SMP_0x03
Slave,2022-03-15 23:37:29.600599,recv_SMP_0x04
Slave,2022-03-15 23:37:29.617061,end_recv_SMP_0x04
Slave,2022-03-15 23:37:29.617674,send_SMP_0x04
Slave,2022-03-15 23:37:29.620440,end_send_SMP_0x04
Master,2022-03-15 23:37:29.632522,recv_SMP_0x03
Master,2022-03-15 23:37:29.732562,end_recv_SMP_0x03
Master,2022-03-15 23:37:29.734082,send_SMP_0x04
Master,2022-03-15 23:37:29.736508,end_send_SMP_0x04
Slave,2022-03-15 23:37:29.745347,recv_SMP_0x03
Slave,2022-03-15 23:37:29.754876,end_recv_SMP_0x03
Slave,2022-03-15 23:37:29.759266,send_SMP_0x03
Slave,2022-03-15 23:37:29.764612,end_send_SMP_0x03
Master,2022-03-15 23:37:29.775505,recv_SMP_0x04
Master,2022-03-15 23:37:29.839526,end_recv_SMP_0x04
Master,2022-03-15 23:37:29.843600,send_SMP_0x03
Master,2022-03-15 23:37:29.848898,end_send_SMP_0x03
Slave,2022-03-15 23:37:29.853048,recv_SMP_0x04
Slave,2022-03-15 23:37:29.866967,end_recv_SMP_0x04
Slave,2022-03-15 23:37:29.868364,send_SMP_0x04
Slave,2022-03-15 23:37:29.871050,end_send_SMP_0x04
Master,2022-03-15 23:37:29.882860,recv_SMP_0x03
Master,2022-03-15 23:37:29.982584,end_recv_SMP_0x03
Master,2022-03-15 23:37:29.988276,send_SMP_0x04
Master,2022-03-15 23:37:29.988694,end_send_SMP_0x04
Slave,2022-03-15 23:37:29.995364,recv_SMP_0x03
Slave,2022-03-15 23:37:30.004396,end_recv_SMP_0x03
Slave,2022-03-15 23:37:30.006375,send_SMP_0x03
Slave,2022-03-15 23:37:30.014527,end_send_SMP_0x03
Master,2022-03-15 23:37:30.025482,recv_SMP_0x04
Master,2022-03-15 23:37:30.089508,end_recv_SMP_0x04
Master,2022-03-15 23:37:30.093533,send_SMP_0x03
Master,2022-03-15 23:37:30.098520,end_send_SMP_0x03
Slave,2022-03-15 23:37:30.100537,recv_SMP_0x04
Slave,2022-03-15 23:37:30.116343,end_recv_SMP_0x04
Slave,2022-03-15 23:37:30.118354,send_SMP_0x04
Slave,2022-03-15 23:37:30.120345,end_send_SMP_0x04
Master,2022-03-15 23:37:30.132567,recv_SMP_0x03
Master,2022-03-15 23:37:30.232518,end_recv_SMP_0x03
Master,2022-03-15 23:37:30.234488,send_SMP_0x04
Master,2022-03-15 23:37:30.237684,end_send_SMP_0x04
