device,time,OpCode
Slave,2022-03-14 03:47:50.374371,send_SMP_0x0B
Slave,2022-03-14 03:47:50.385863,end_send_SMP_0x0B
Master,2022-03-14 03:47:50.609568,recv_SMP_0x0B
Master,2022-03-14 03:47:50.614584,end_recv_SMP_0x0B
Master,2022-03-14 03:47:50.620507,send_SMP_0x01
Master,2022-03-14 03:47:50.622901,end_send_SMP_0x01
Slave,2022-03-14 03:47:50.786160,recv_SMP_0x01
Master,2022-03-14 03:47:50.789923,recv_SMP_0x02
Slave,2022-03-14 03:47:50.799109,end_recv_SMP_0x01
Slave,2022-03-14 03:47:50.806592,send_SMP_0x02
Master,2022-03-14 03:47:50.807186,end_recv_SMP_0x02
Slave,2022-03-14 03:47:50.810489,end_send_SMP_0x02
Master,2022-03-14 03:47:50.812058,send_SMP_0x0C
Master,2022-03-14 03:47:50.813675,end_send_SMP_0x0C
Slave,2022-03-14 03:47:50.982013,recv_SMP_0x0C
Slave,2022-03-14 03:47:50.991084,end_recv_SMP_0x0C
Slave,2022-03-14 03:47:50.992606,send_SMP_0x0C
Slave,2022-03-14 03:47:50.994128,end_send_SMP_0x0C
Master,2022-03-14 03:47:51.172140,recv_SMP_0x0C
Master,2022-03-14 03:47:51.223571,end_recv_SMP_0x0C
Master,2022-03-14 03:47:51.226501,send_SMP_0x03
Master,2022-03-14 03:47:51.230492,end_send_SMP_0x03
Slave,2022-03-14 03:47:51.239397,recv_SMP_0x03
Slave,2022-03-14 03:47:51.248517,end_recv_SMP_0x03
Slave,2022-03-14 03:47:51.250636,send_SMP_0x03
Slave,2022-03-14 03:47:51.258378,end_send_SMP_0x03
Slave,2022-03-14 03:47:51.399957,recv_SMP_0x04
Slave,2022-03-14 03:47:51.414380,end_recv_SMP_0x04
Master,2022-03-14 03:47:51.414708,recv_SMP_0x03
Slave,2022-03-14 03:47:51.416434,send_SMP_0x04
Slave,2022-03-14 03:47:51.419809,end_send_SMP_0x04
Master,2022-03-14 03:47:51.420606,end_recv_SMP_0x03
Master,2022-03-14 03:47:51.420926,send_SMP_0x04
Master,2022-03-14 03:47:51.422620,end_send_SMP_0x04
Master,2022-03-14 03:47:51.584589,recv_SMP_0x04
Slave,2022-03-14 03:47:51.589440,recv_SMP_0x03
Slave,2022-03-14 03:47:51.598344,end_recv_SMP_0x03
Master,2022-03-14 03:47:51.598932,end_recv_SMP_0x04
Slave,2022-03-14 03:47:51.600363,send_SMP_0x03
Master,2022-03-14 03:47:51.600863,send_SMP_0x03
Slave,2022-03-14 03:47:51.608354,end_send_SMP_0x03
Master,2022-03-14 03:47:51.608975,end_send_SMP_0x03
Slave,2022-03-14 03:47:51.749413,recv_SMP_0x04
Slave,2022-03-14 03:47:51.764449,end_recv_SMP_0x04
Master,2022-03-14 03:47:51.764750,recv_SMP_0x03
Slave,2022-03-14 03:47:51.766882,send_SMP_0x04
Slave,2022-03-14 03:47:51.768648,end_send_SMP_0x04
Master,2022-03-14 03:47:51.773170,end_recv_SMP_0x03
Master,2022-03-14 03:47:51.773524,send_SMP_0x04
Master,2022-03-14 03:47:51.773874,end_send_SMP_0x04
Slave,2022-03-14 03:47:51.939382,recv_SMP_0x03
Slave,2022-03-14 03:47:51.948394,end_recv_SMP_0x03
Master,2022-03-14 03:47:51.948676,recv_SMP_0x04
Slave,2022-03-14 03:47:51.954494,send_SMP_0x03
Slave,2022-03-14 03:47:51.959685,end_send_SMP_0x03
Master,2022-03-14 03:47:51.961245,end_recv_SMP_0x04
Master,2022-03-14 03:47:51.962537,send_SMP_0x03
Master,2022-03-14 03:47:51.971906,end_send_SMP_0x03
Slave,2022-03-14 03:47:52.099395,recv_SMP_0x04
Slave,2022-03-14 03:47:52.114416,end_recv_SMP_0x04
Master,2022-03-14 03:47:52.114722,recv_SMP_0x03
Slave,2022-03-14 03:47:52.119939,send_SMP_0x04
Slave,2022-03-14 03:47:52.120405,end_send_SMP_0x04
Master,2022-03-14 03:47:52.121126,end_recv_SMP_0x03
Master,2022-03-14 03:47:52.121430,send_SMP_0x04
Master,2022-03-14 03:47:52.123925,end_send_SMP_0x04
Slave,2022-03-14 03:47:52.289395,recv_SMP_0x03
Slave,2022-03-14 03:47:52.298401,end_recv_SMP_0x03
Master,2022-03-14 03:47:52.298699,recv_SMP_0x04
Slave,2022-03-14 03:47:52.300434,send_SMP_0x03
Slave,2022-03-14 03:47:52.315223,end_send_SMP_0x03
Master,2022-03-14 03:47:52.316141,end_recv_SMP_0x04
Master,2022-03-14 03:47:52.316495,send_SMP_0x03
Master,2022-03-14 03:47:52.319995,end_send_SMP_0x03
Slave,2022-03-14 03:47:52.449421,recv_SMP_0x04
Slave,2022-03-14 03:47:52.464704,end_recv_SMP_0x04
Master,2022-03-14 03:47:52.465062,recv_SMP_0x03
Slave,2022-03-14 03:47:52.466487,send_SMP_0x04
Slave,2022-03-14 03:47:52.468402,end_send_SMP_0x04
Master,2022-03-14 03:47:52.470721,end_recv_SMP_0x03
Master,2022-03-14 03:47:52.472189,send_SMP_0x04
Master,2022-03-14 03:47:52.473236,end_send_SMP_0x04
Slave,2022-03-14 03:47:52.639387,recv_SMP_0x03
Slave,2022-03-14 03:47:52.648399,end_recv_SMP_0x03
Master,2022-03-14 03:47:52.649754,recv_SMP_0x04
Slave,2022-03-14 03:47:52.650895,send_SMP_0x03
Slave,2022-03-14 03:47:52.658462,end_send_SMP_0x03
Master,2022-03-14 03:47:52.660647,end_recv_SMP_0x04
Master,2022-03-14 03:47:52.662162,send_SMP_0x03
Master,2022-03-14 03:47:52.666609,end_send_SMP_0x03
Slave,2022-03-14 03:47:52.799407,recv_SMP_0x04
Slave,2022-03-14 03:47:52.815065,end_recv_SMP_0x04
Master,2022-03-14 03:47:52.815740,recv_SMP_0x03
Slave,2022-03-14 03:47:52.816434,send_SMP_0x04
Slave,2022-03-14 03:47:52.822753,end_send_SMP_0x04
Master,2022-03-14 03:47:52.824803,end_recv_SMP_0x03
Master,2022-03-14 03:47:52.825561,send_SMP_0x04
Master,2022-03-14 03:47:52.828966,end_send_SMP_0x04
Slave,2022-03-14 03:47:52.991052,recv_SMP_0x03
Slave,2022-03-14 03:47:52.998773,end_recv_SMP_0x03
Master,2022-03-14 03:47:52.999526,recv_SMP_0x04
Slave,2022-03-14 03:47:53.008041,send_SMP_0x03
Slave,2022-03-14 03:47:53.013212,end_send_SMP_0x03
Master,2022-03-14 03:47:53.015934,end_recv_SMP_0x04
Master,2022-03-14 03:47:53.019697,send_SMP_0x03
Master,2022-03-14 03:47:53.026660,end_send_SMP_0x03
Slave,2022-03-14 03:47:53.149405,recv_SMP_0x04
Slave,2022-03-14 03:47:53.164405,end_recv_SMP_0x04
Master,2022-03-14 03:47:53.164703,recv_SMP_0x03
Slave,2022-03-14 03:47:53.167093,send_SMP_0x04
Slave,2022-03-14 03:47:53.168592,end_send_SMP_0x04
Master,2022-03-14 03:47:53.172505,end_recv_SMP_0x03
Master,2022-03-14 03:47:53.172844,send_SMP_0x04
Master,2022-03-14 03:47:53.173179,end_send_SMP_0x04
Slave,2022-03-14 03:47:53.339481,recv_SMP_0x03
Slave,2022-03-14 03:47:53.348499,end_recv_SMP_0x03
Master,2022-03-14 03:47:53.348793,recv_SMP_0x04
Slave,2022-03-14 03:47:53.350434,send_SMP_0x03
Slave,2022-03-14 03:47:53.359233,end_send_SMP_0x03
Master,2022-03-14 03:47:53.360983,end_recv_SMP_0x04
Master,2022-03-14 03:47:53.361596,send_SMP_0x03
Master,2022-03-14 03:47:53.366595,end_send_SMP_0x03
Slave,2022-03-14 03:47:53.499451,recv_SMP_0x04
Slave,2022-03-14 03:47:53.514542,end_recv_SMP_0x04
Master,2022-03-14 03:47:53.516061,recv_SMP_0x03
Slave,2022-03-14 03:47:53.520299,send_SMP_0x04
Slave,2022-03-14 03:47:53.525355,end_send_SMP_0x04
Master,2022-03-14 03:47:53.530079,end_recv_SMP_0x03
Master,2022-03-14 03:47:53.534305,send_SMP_0x04
Master,2022-03-14 03:47:53.543982,end_send_SMP_0x04
Slave,2022-03-14 03:47:53.689428,recv_SMP_0x03
Slave,2022-03-14 03:47:53.698445,end_recv_SMP_0x03
Master,2022-03-14 03:47:53.701562,recv_SMP_0x04
Slave,2022-03-14 03:47:53.705376,send_SMP_0x03
Slave,2022-03-14 03:47:53.710594,end_send_SMP_0x03
Master,2022-03-14 03:47:53.715078,end_recv_SMP_0x04
Master,2022-03-14 03:47:53.717136,send_SMP_0x03
Master,2022-03-14 03:47:53.719219,end_send_SMP_0x03
Slave,2022-03-14 03:47:53.849408,recv_SMP_0x04
Slave,2022-03-14 03:47:53.864420,end_recv_SMP_0x04
Master,2022-03-14 03:47:53.865756,recv_SMP_0x03
Slave,2022-03-14 03:47:53.867113,send_SMP_0x04
Slave,2022-03-14 03:47:53.876936,end_send_SMP_0x04
Master,2022-03-14 03:47:53.882494,end_recv_SMP_0x03
Master,2022-03-14 03:47:53.889093,send_SMP_0x04
Master,2022-03-14 03:47:53.894981,end_send_SMP_0x04
Slave,2022-03-14 03:47:54.039483,recv_SMP_0x03
Slave,2022-03-14 03:47:54.048457,end_recv_SMP_0x03
Master,2022-03-14 03:47:54.049227,recv_SMP_0x04
Slave,2022-03-14 03:47:54.052112,send_SMP_0x03
Slave,2022-03-14 03:47:54.058433,end_send_SMP_0x03
Master,2022-03-14 03:47:54.062094,end_recv_SMP_0x04
Master,2022-03-14 03:47:54.065966,send_SMP_0x03
Master,2022-03-14 03:47:54.068495,end_send_SMP_0x03
Slave,2022-03-14 03:47:54.199502,recv_SMP_0x04
Slave,2022-03-14 03:47:54.214487,end_recv_SMP_0x04
Master,2022-03-14 03:47:54.217738,recv_SMP_0x03
Slave,2022-03-14 03:47:54.219202,send_SMP_0x04
Slave,2022-03-14 03:47:54.219695,end_send_SMP_0x04
Master,2022-03-14 03:47:54.223373,end_recv_SMP_0x03
Master,2022-03-14 03:47:54.224092,send_SMP_0x04
Master,2022-03-14 03:47:54.224483,end_send_SMP_0x04
Slave,2022-03-14 03:47:54.389434,recv_SMP_0x03
Slave,2022-03-14 03:47:54.398497,end_recv_SMP_0x03
Master,2022-03-14 03:47:54.399417,recv_SMP_0x04
Slave,2022-03-14 03:47:54.405818,send_SMP_0x03
Slave,2022-03-14 03:47:54.411053,end_send_SMP_0x03
Master,2022-03-14 03:47:54.413756,end_recv_SMP_0x04
Master,2022-03-14 03:47:54.414757,send_SMP_0x03
Master,2022-03-14 03:47:54.416804,end_send_SMP_0x03
Slave,2022-03-14 03:47:54.549452,recv_SMP_0x04
Slave,2022-03-14 03:47:54.564474,end_recv_SMP_0x04
Master,2022-03-14 03:47:54.566071,recv_SMP_0x03
Slave,2022-03-14 03:47:54.567642,send_SMP_0x04
Slave,2022-03-14 03:47:54.570131,end_send_SMP_0x04
Master,2022-03-14 03:47:54.573435,end_recv_SMP_0x03
Master,2022-03-14 03:47:54.575025,send_SMP_0x04
Master,2022-03-14 03:47:54.578993,end_send_SMP_0x04
Slave,2022-03-14 03:47:54.739502,recv_SMP_0x03
Slave,2022-03-14 03:47:54.748521,end_recv_SMP_0x03
Master,2022-03-14 03:47:54.750822,recv_SMP_0x04
Slave,2022-03-14 03:47:54.751130,send_SMP_0x03
Slave,2022-03-14 03:47:54.759484,end_send_SMP_0x03
Master,2022-03-14 03:47:54.762739,end_recv_SMP_0x04
Master,2022-03-14 03:47:54.764195,send_SMP_0x03
Master,2022-03-14 03:47:54.767817,end_send_SMP_0x03
Slave,2022-03-14 03:47:54.899666,recv_SMP_0x04
Slave,2022-03-14 03:47:54.914674,end_recv_SMP_0x04
Master,2022-03-14 03:47:54.916803,recv_SMP_0x03
Slave,2022-03-14 03:47:54.917105,send_SMP_0x04
Slave,2022-03-14 03:47:54.918582,end_send_SMP_0x04
Master,2022-03-14 03:47:54.923202,end_recv_SMP_0x03
Master,2022-03-14 03:47:54.926177,send_SMP_0x04
Master,2022-03-14 03:47:54.928645,end_send_SMP_0x04
Slave,2022-03-14 03:47:55.091060,recv_SMP_0x03
Slave,2022-03-14 03:47:55.098443,end_recv_SMP_0x03
Master,2022-03-14 03:47:55.099157,recv_SMP_0x04
Slave,2022-03-14 03:47:55.100684,send_SMP_0x03
Slave,2022-03-14 03:47:55.135364,end_send_SMP_0x03
Master,2022-03-14 03:47:55.143069,end_recv_SMP_0x04
Master,2022-03-14 03:47:55.146681,send_SMP_0x03
Master,2022-03-14 03:47:55.152295,end_send_SMP_0x03
Slave,2022-03-14 03:47:55.249486,recv_SMP_0x04
Slave,2022-03-14 03:47:55.264534,end_recv_SMP_0x04
Master,2022-03-14 03:47:55.264846,recv_SMP_0x03
Slave,2022-03-14 03:47:55.266542,send_SMP_0x04
Slave,2022-03-14 03:47:55.270496,end_send_SMP_0x04
Master,2022-03-14 03:47:55.278228,end_recv_SMP_0x03
Master,2022-03-14 03:47:55.281532,send_SMP_0x04
Master,2022-03-14 03:47:55.284437,end_send_SMP_0x04
Master,2022-03-14 03:47:55.387671,recv_SMP_0x04
Master,2022-03-14 03:47:55.424627,end_recv_SMP_0x04
Master,2022-03-14 03:47:55.425869,send_SMP_0x03
Master,2022-03-14 03:47:55.428645,end_send_SMP_0x03
Slave,2022-03-14 03:47:55.450768,recv_SMP_0x03
Slave,2022-03-14 03:47:55.459458,end_recv_SMP_0x03
Slave,2022-03-14 03:47:55.462288,send_SMP_0x03
Slave,2022-03-14 03:47:55.469475,end_send_SMP_0x03
Slave,2022-03-14 03:47:55.694455,recv_SMP_0x04
Slave,2022-03-14 03:47:55.706555,end_recv_SMP_0x04
Slave,2022-03-14 03:47:55.708848,send_SMP_0x04
Slave,2022-03-14 03:47:55.718244,end_send_SMP_0x04
Master,2022-03-14 03:47:55.732633,recv_SMP_0x03
Master,2022-03-14 03:47:55.736408,end_recv_SMP_0x03
Master,2022-03-14 03:47:55.817314,send_SMP_0x04
Master,2022-03-14 03:47:55.821251,end_send_SMP_0x04
Slave,2022-03-14 03:47:55.903566,recv_SMP_0x03
Master,2022-03-14 03:47:55.914585,recv_SMP_0x04
Slave,2022-03-14 03:47:55.917599,end_recv_SMP_0x03
