device,time,OpCode
Slave,2022-03-14 15:22:50.278389,send_SMP_0x0B
Slave,2022-03-14 15:22:50.286390,end_send_SMP_0x0B
Master,2022-03-14 15:22:50.361406,recv_SMP_0x0B
Master,2022-03-14 15:22:50.365485,end_recv_SMP_0x0B
Master,2022-03-14 15:22:50.369260,send_SMP_0x01
Master,2022-03-14 15:22:50.372325,end_send_SMP_0x01
Master,2022-03-14 15:22:50.597278,recv_SMP_0x02
Master,2022-03-14 15:22:50.612332,end_recv_SMP_0x02
Master,2022-03-14 15:22:50.614290,send_SMP_0x0C
Master,2022-03-14 15:22:50.616398,end_send_SMP_0x0C
Slave,2022-03-14 15:22:50.751371,recv_SMP_0x01
Slave,2022-03-14 15:22:50.768476,end_recv_SMP_0x01
Slave,2022-03-14 15:22:50.769441,send_SMP_0x02
Slave,2022-03-14 15:22:50.771483,end_send_SMP_0x02
Slave,2022-03-14 15:22:50.906371,recv_SMP_0x0C
Slave,2022-03-14 15:22:50.928425,end_recv_SMP_0x0C
Slave,2022-03-14 15:22:50.929398,send_SMP_0x0C
Slave,2022-03-14 15:22:50.930453,end_send_SMP_0x0C
Master,2022-03-14 15:22:50.950318,recv_SMP_0x0C
Master,2022-03-14 15:22:50.966322,end_recv_SMP_0x0C
Master,2022-03-14 15:22:50.972280,send_SMP_0x03
Master,2022-03-14 15:22:50.980292,end_send_SMP_0x03
Master,2022-03-14 15:22:51.147316,recv_SMP_0x03
Master,2022-03-14 15:22:51.156362,end_recv_SMP_0x03
Master,2022-03-14 15:22:51.158326,send_SMP_0x04
Master,2022-03-14 15:22:51.161273,end_send_SMP_0x04
Slave,2022-03-14 15:22:51.177411,recv_SMP_0x03
Slave,2022-03-14 15:22:51.182454,end_recv_SMP_0x03
Slave,2022-03-14 15:22:51.183584,send_SMP_0x03
Slave,2022-03-14 15:22:51.276432,end_send_SMP_0x03
Master,2022-03-14 15:22:51.299287,recv_SMP_0x04
Master,2022-03-14 15:22:51.317304,end_recv_SMP_0x04
Master,2022-03-14 15:22:51.319282,send_SMP_0x03
Master,2022-03-14 15:22:51.327282,end_send_SMP_0x03
Slave,2022-03-14 15:22:51.341978,recv_SMP_0x04
Slave,2022-03-14 15:22:51.378466,end_recv_SMP_0x04
Slave,2022-03-14 15:22:51.380443,send_SMP_0x04
Slave,2022-03-14 15:22:51.382434,end_send_SMP_0x04
Master,2022-03-14 15:22:51.497306,recv_SMP_0x03
Master,2022-03-14 15:22:51.507618,end_recv_SMP_0x03
Master,2022-03-14 15:22:51.508314,send_SMP_0x04
Master,2022-03-14 15:22:51.511323,end_send_SMP_0x04
Slave,2022-03-14 15:22:51.527744,recv_SMP_0x03
Slave,2022-03-14 15:22:51.532411,end_recv_SMP_0x03
Slave,2022-03-14 15:22:51.533376,send_SMP_0x03
Slave,2022-03-14 15:22:51.626433,end_send_SMP_0x03
Master,2022-03-14 15:22:51.649293,recv_SMP_0x04
Master,2022-03-14 15:22:51.667236,end_recv_SMP_0x04
Master,2022-03-14 15:22:51.668328,send_SMP_0x03
Master,2022-03-14 15:22:51.677329,end_send_SMP_0x03
Slave,2022-03-14 15:22:51.690376,recv_SMP_0x04
Slave,2022-03-14 15:22:51.728654,end_recv_SMP_0x04
Slave,2022-03-14 15:22:51.730451,send_SMP_0x04
Slave,2022-03-14 15:22:51.732399,end_send_SMP_0x04
Master,2022-03-14 15:22:51.847309,recv_SMP_0x03
Master,2022-03-14 15:22:51.856356,end_recv_SMP_0x03
Master,2022-03-14 15:22:51.858481,send_SMP_0x04
Master,2022-03-14 15:22:51.861334,end_send_SMP_0x04
Slave,2022-03-14 15:22:51.877417,recv_SMP_0x03
Slave,2022-03-14 15:22:51.882484,end_recv_SMP_0x03
Slave,2022-03-14 15:22:51.883422,send_SMP_0x03
Slave,2022-03-14 15:22:51.976444,end_send_SMP_0x03
Master,2022-03-14 15:22:51.999316,recv_SMP_0x04
Master,2022-03-14 15:22:52.017313,end_recv_SMP_0x04
Master,2022-03-14 15:22:52.019346,send_SMP_0x03
Master,2022-03-14 15:22:52.027963,end_send_SMP_0x03
Slave,2022-03-14 15:22:52.040416,recv_SMP_0x04
Slave,2022-03-14 15:22:52.078460,end_recv_SMP_0x04
Slave,2022-03-14 15:22:52.080462,send_SMP_0x04
Slave,2022-03-14 15:22:52.082451,end_send_SMP_0x04
Master,2022-03-14 15:22:52.197323,recv_SMP_0x03
Master,2022-03-14 15:22:52.206361,end_recv_SMP_0x03
Master,2022-03-14 15:22:52.208328,send_SMP_0x04
Master,2022-03-14 15:22:52.211301,end_send_SMP_0x04
Slave,2022-03-14 15:22:52.227502,recv_SMP_0x03
Slave,2022-03-14 15:22:52.232421,end_recv_SMP_0x03
Slave,2022-03-14 15:22:52.233485,send_SMP_0x03
Slave,2022-03-14 15:22:52.326494,end_send_SMP_0x03
Master,2022-03-14 15:22:52.349354,recv_SMP_0x04
Master,2022-03-14 15:22:52.367304,end_recv_SMP_0x04
Master,2022-03-14 15:22:52.369334,send_SMP_0x03
Master,2022-03-14 15:22:52.377315,end_send_SMP_0x03
Slave,2022-03-14 15:22:52.390423,recv_SMP_0x04
Slave,2022-03-14 15:22:52.428465,end_recv_SMP_0x04
Slave,2022-03-14 15:22:52.430480,send_SMP_0x04
Slave,2022-03-14 15:22:52.432461,end_send_SMP_0x04
Master,2022-03-14 15:22:52.547385,recv_SMP_0x03
Master,2022-03-14 15:22:52.556356,end_recv_SMP_0x03
Master,2022-03-14 15:22:52.558356,send_SMP_0x04
Master,2022-03-14 15:22:52.561347,end_send_SMP_0x04
Slave,2022-03-14 15:22:52.577456,recv_SMP_0x03
Slave,2022-03-14 15:22:52.582460,end_recv_SMP_0x03
Slave,2022-03-14 15:22:52.583456,send_SMP_0x03
Slave,2022-03-14 15:22:52.676466,end_send_SMP_0x03
Master,2022-03-14 15:22:52.699655,recv_SMP_0x04
Master,2022-03-14 15:22:52.717305,end_recv_SMP_0x04
Master,2022-03-14 15:22:52.719641,send_SMP_0x03
Master,2022-03-14 15:22:52.727319,end_send_SMP_0x03
Slave,2022-03-14 15:22:52.740433,recv_SMP_0x04
Slave,2022-03-14 15:22:52.778458,end_recv_SMP_0x04
Slave,2022-03-14 15:22:52.780437,send_SMP_0x04
Slave,2022-03-14 15:22:52.782435,end_send_SMP_0x04
Master,2022-03-14 15:22:52.898265,recv_SMP_0x03
Master,2022-03-14 15:22:52.907335,end_recv_SMP_0x03
Master,2022-03-14 15:22:52.911383,send_SMP_0x04
Master,2022-03-14 15:22:52.912018,end_send_SMP_0x04
Slave,2022-03-14 15:22:52.928429,recv_SMP_0x03
Slave,2022-03-14 15:22:52.932492,end_recv_SMP_0x03
Slave,2022-03-14 15:22:52.933473,send_SMP_0x03
Slave,2022-03-14 15:22:53.026441,end_send_SMP_0x03
Master,2022-03-14 15:22:53.049347,recv_SMP_0x04
Master,2022-03-14 15:22:53.067303,end_recv_SMP_0x04
Master,2022-03-14 15:22:53.069967,send_SMP_0x03
Master,2022-03-14 15:22:53.077676,end_send_SMP_0x03
