device,time,OpCode
Slave,2022-03-14 03:21:16.045335,send_SMP_0x0B
Slave,2022-03-14 03:21:16.056534,end_send_SMP_0x0B
Master,2022-03-14 03:21:16.336736,recv_SMP_0x0B
Master,2022-03-14 03:21:16.343392,end_recv_SMP_0x0B
Master,2022-03-14 03:21:16.348800,send_SMP_0x01
Master,2022-03-14 03:21:16.349170,end_send_SMP_0x01
Slave,2022-03-14 03:21:16.491911,recv_SMP_0x01
Master,2022-03-14 03:21:16.513470,recv_SMP_0x02
Slave,2022-03-14 03:21:16.515418,end_recv_SMP_0x01
Slave,2022-03-14 03:21:16.517812,send_SMP_0x02
Slave,2022-03-14 03:21:16.520177,end_send_SMP_0x02
Master,2022-03-14 03:21:16.524925,end_recv_SMP_0x02
Master,2022-03-14 03:21:16.527864,send_SMP_0x0C
Master,2022-03-14 03:21:16.542000,end_send_SMP_0x0C
Slave,2022-03-14 03:21:16.675615,recv_SMP_0x0C
Slave,2022-03-14 03:21:16.691633,end_recv_SMP_0x0C
Slave,2022-03-14 03:21:16.693678,send_SMP_0x0C
Slave,2022-03-14 03:21:16.695797,end_send_SMP_0x0C
Slave,2022-03-14 03:21:17.009649,recv_SMP_0x03
Master,2022-03-14 03:21:17.011842,recv_SMP_0x0C
Slave,2022-03-14 03:21:17.018656,end_recv_SMP_0x03
Slave,2022-03-14 03:21:17.020761,send_SMP_0x03
Master,2022-03-14 03:21:17.024034,end_recv_SMP_0x0C
Master,2022-03-14 03:21:17.031809,send_SMP_0x03
Slave,2022-03-14 03:21:17.034552,end_send_SMP_0x03
Master,2022-03-14 03:21:17.049268,end_send_SMP_0x03
Slave,2022-03-14 03:21:17.169653,recv_SMP_0x04
Slave,2022-03-14 03:21:17.192222,end_recv_SMP_0x04
Slave,2022-03-14 03:21:17.192598,send_SMP_0x04
Slave,2022-03-14 03:21:17.196513,end_send_SMP_0x04
Master,2022-03-14 03:21:17.202528,recv_SMP_0x03
Master,2022-03-14 03:21:17.206734,end_recv_SMP_0x03
Master,2022-03-14 03:21:17.209737,send_SMP_0x04
Master,2022-03-14 03:21:17.210748,end_send_SMP_0x04
Slave,2022-03-14 03:21:17.359611,recv_SMP_0x03
Slave,2022-03-14 03:21:17.368588,end_recv_SMP_0x03
Slave,2022-03-14 03:21:17.370570,send_SMP_0x03
Slave,2022-03-14 03:21:17.383664,end_send_SMP_0x03
Master,2022-03-14 03:21:17.383981,recv_SMP_0x04
Master,2022-03-14 03:21:17.400377,end_recv_SMP_0x04
Master,2022-03-14 03:21:17.400870,send_SMP_0x03
Master,2022-03-14 03:21:17.490761,end_send_SMP_0x03
Slave,2022-03-14 03:21:17.519614,recv_SMP_0x04
Slave,2022-03-14 03:21:17.540603,end_recv_SMP_0x04
Slave,2022-03-14 03:21:17.542653,send_SMP_0x04
Slave,2022-03-14 03:21:17.544678,end_send_SMP_0x04
Master,2022-03-14 03:21:17.556803,recv_SMP_0x03
Master,2022-03-14 03:21:17.636791,end_recv_SMP_0x03
Master,2022-03-14 03:21:17.638762,send_SMP_0x04
Master,2022-03-14 03:21:17.640734,end_send_SMP_0x04
