device,time,OpCode
Slave,2022-03-13 07:28:04.084765,send_SMP_0x0B
Slave,2022-03-13 07:28:04.095823,end_send_SMP_0x0B
Master,2022-03-13 07:28:04.388604,recv_SMP_0x0B
Master,2022-03-13 07:28:04.399175,end_recv_SMP_0x0B
Master,2022-03-13 07:28:04.404538,send_SMP_0x01
Master,2022-03-13 07:28:04.406511,end_send_SMP_0x01
Slave,2022-03-13 07:28:04.412862,recv_SMP_0x01
Slave,2022-03-13 07:28:04.433981,end_recv_SMP_0x01
Slave,2022-03-13 07:28:04.436662,send_SMP_0x02
Slave,2022-03-13 07:28:04.442295,end_send_SMP_0x02
Master,2022-03-13 07:28:04.580969,recv_SMP_0x02
Master,2022-03-13 07:28:04.594523,end_recv_SMP_0x02
Master,2022-03-13 07:28:04.595181,send_SMP_0x0C
Master,2022-03-13 07:28:04.596963,end_send_SMP_0x0C
Slave,2022-03-13 07:28:04.665013,recv_SMP_0x0C
Slave,2022-03-13 07:28:04.681811,end_recv_SMP_0x0C
Slave,2022-03-13 07:28:04.684869,send_SMP_0x0C
Slave,2022-03-13 07:28:04.687193,end_send_SMP_0x0C
Slave,2022-03-13 07:28:04.998841,recv_SMP_0x03
Slave,2022-03-13 07:28:05.008009,end_recv_SMP_0x03
Slave,2022-03-13 07:28:05.009786,send_SMP_0x03
Slave,2022-03-13 07:28:05.023817,end_send_SMP_0x03
Master,2022-03-13 07:28:05.129924,recv_SMP_0x0C
Master,2022-03-13 07:28:05.136989,end_recv_SMP_0x0C
Master,2022-03-13 07:28:05.139339,send_SMP_0x03
Master,2022-03-13 07:28:05.148082,end_send_SMP_0x03
Slave,2022-03-13 07:28:05.159967,recv_SMP_0x04
Slave,2022-03-13 07:28:05.180841,end_recv_SMP_0x04
Slave,2022-03-13 07:28:05.183490,send_SMP_0x04
Slave,2022-03-13 07:28:05.184984,end_send_SMP_0x04
Master,2022-03-13 07:28:05.344002,recv_SMP_0x03
Slave,2022-03-13 07:28:05.349471,recv_SMP_0x03
Master,2022-03-13 07:28:05.351886,end_recv_SMP_0x03
Master,2022-03-13 07:28:05.357986,send_SMP_0x04
Slave,2022-03-13 07:28:05.358676,end_recv_SMP_0x03
Master,2022-03-13 07:28:05.359993,end_send_SMP_0x04
Slave,2022-03-13 07:28:05.360828,send_SMP_0x03
Slave,2022-03-13 07:28:05.373895,end_send_SMP_0x03
Master,2022-03-13 07:28:05.495988,recv_SMP_0x04
Slave,2022-03-13 07:28:05.510061,recv_SMP_0x04
Master,2022-03-13 07:28:05.515976,end_recv_SMP_0x04
Master,2022-03-13 07:28:05.521153,send_SMP_0x03
Slave,2022-03-13 07:28:05.530886,end_recv_SMP_0x04
Slave,2022-03-13 07:28:05.532796,send_SMP_0x04
Master,2022-03-13 07:28:05.533100,end_send_SMP_0x03
Slave,2022-03-13 07:28:05.534837,end_send_SMP_0x04
Slave,2022-03-13 07:28:05.698903,recv_SMP_0x03
Slave,2022-03-13 07:28:05.707883,end_recv_SMP_0x03
Master,2022-03-13 07:28:05.708196,recv_SMP_0x03
Slave,2022-03-13 07:28:05.709847,send_SMP_0x03
Master,2022-03-13 07:28:05.719046,end_recv_SMP_0x03
Master,2022-03-13 07:28:05.721826,send_SMP_0x04
